Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
6720000,1.3191677,744.3,209.74504,1005.2631101071835,1005.2631101071835,245.49008,0.024766115,0.00019942768,0.16647586,0.0033271466,1.0
6750000,1.3193116,755.55,222.28247,1048.456557418406,1048.456557418406,244.2063,0.02863718,0.00019896167,0.1663205,0.0033193952,1.0
6780000,1.3191131,793.7,222.74385,1097.3586392595962,1097.3586392595962,171.76892,0.02465535,0.00019848732,0.16616245,0.003311505,1.0
6810000,1.3188256,764.7837837837837,221.52095,1048.0807548075913,1048.0807548075913,181.32014,0.019583626,0.0001980163,0.16600543,0.0033036699,1.0
6840000,1.3185616,616.4897959183673,192.19511,847.6983868248609,847.6983868248609,204.91986,0.02541203,0.00019770152,0.16590053,0.0032984337,1.0
6870000,1.3180872,583.3137254901961,197.88887,798.9664879347764,798.9664879347764,318.8849,0.02589932,0.00019722935,0.16574311,0.0032905806,1.0
6900000,1.3178899,595.1960784313726,187.66693,825.9812708181494,825.9812708181494,297.88123,0.022757212,0.00019674707,0.16558233,0.0032825596,1.0
6930000,1.3177084,596.9795918367347,185.09157,844.9460640499989,844.9460640499989,269.30774,0.02174323,0.0001962739,0.16542462,0.0032746878,1.0
6960000,1.3174455,560.0185185185185,184.53807,751.4099482742223,751.4099482742223,254.70361,0.024158087,0.0001957984,0.1652661,0.0032667792,1.0
6990000,1.3173028,578.0714285714286,197.55829,851.9565980057328,851.9565980057328,359.2591,0.020652879,0.00019533654,0.16511217,0.0032590968,1.0
7020000,1.3172065,592.9574468085107,190.72598,765.6254265319418,765.6254265319418,373.64697,0.02308016,0.00019486308,0.16495433,0.0032512227,1.0
7050000,1.3169976,569.0,186.90709,791.81182483641,791.81182483641,380.72537,0.024638833,0.00019455406,0.1648513,0.0032460813,1.0
7080000,1.3168445,706.9761904761905,213.56973,994.4062360198725,994.4062360198725,321.58215,0.02285478,0.00019408755,0.1646958,0.0032383213,1.0
7110000,1.3166856,707.9069767441861,211.82143,998.1720483802086,998.1720483802086,225.8849,0.018529754,0.00019361085,0.16453694,0.003230393,1.0
7140000,1.3167009,681.6279069767442,203.3046,953.8205648910167,953.8205648910167,214.56906,0.028692376,0.00019314003,0.16438001,0.003222562,1.0
7170000,1.3166289,542.1785714285714,194.01147,754.491230009922,754.491230009922,504.498,0.029538685,0.000192672,0.16422401,0.0032147765,1.0
7200000,1.3166997,589.1176470588235,191.1402,825.8606168534242,825.8606168534242,321.66382,0.02435049,0.00019220472,0.16406822,0.003207004,1.0
7230000,1.3165256,577.8235294117648,189.0656,809.0356980714143,809.0356980714143,333.49063,0.023504684,0.00019173075,0.16391025,0.0031991205,1.0
7260000,1.3161643,526.280701754386,168.56003,737.7594207106976,737.7594207106976,314.1159,0.023989612,0.00019140955,0.16380315,0.0031937782,1.0
7290000,1.3156239,616.9387755102041,192.88211,858.1737713327213,858.1737713327213,299.35764,0.018182136,0.00019094115,0.16364701,0.003185986,1.0
7320000,1.3154801,741.55,219.87007,1051.6175405278802,1051.6175405278802,362.46646,0.022666456,0.00019047319,0.16349107,0.0031782028,1.0
7350000,1.3154073,678.2666666666667,203.50493,965.6776815070046,965.6776815070046,174.48206,0.022795323,0.0001900032,0.16333437,0.0031703846,1.0
7380000,1.315167,687.9545454545455,213.87456,981.3217700692741,981.3217700692741,185.58223,0.022935456,0.00018952362,0.16317454,0.0031624075,1.0
7410000,1.31502,730.5909090909091,219.49419,1070.0484020358476,1070.0484020358476,223.57263,0.021729525,0.0001890504,0.1630168,0.003154538,1.0
7440000,1.3148777,664.0487804878048,212.1721,932.1266956394134,932.1266956394134,304.4816,0.02426986,0.00018857286,0.16285759,0.0031465949,1.0
7470000,1.3146657,662.8,201.20494,948.7188856919606,948.7188856919606,236.29515,0.021966945,0.00018825693,0.16275226,0.0031413385,1.0
7500000,1.3144337,543.3392857142857,199.1862,770.5835067959769,770.5835067959769,322.08322,0.022415977,0.00018779119,0.16259703,0.003133593,1.0
7530000,1.3142759,579.0192307692307,184.16563,819.434954263843,819.434954263843,317.11426,0.024701113,0.00018732918,0.16244309,0.003125908,1.0
7560000,1.3142701,709.2682926829268,222.71034,1012.6651599523498,1012.6651599523498,248.01947,0.020929307,0.00018686286,0.16228762,0.0031181513,1.0
