Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5160000,1.3420523,395.2432432432432,48.477615,205.23174644470214,205.23174644470214,90.305,0.030312395,0.00022276622,0.17425539,0.0037153435,1.0
5190000,1.342401,360.0365853658537,49.086758,185.47949619991024,185.47949619991024,94.38277,0.03060923,0.00022245344,0.17415111,0.0037101423,1.0
5220000,1.3424257,337.14606741573033,48.64369,168.75026493393972,168.75026493393972,98.16528,0.029732026,0.00022198948,0.17399652,0.0037024245,1.0
5250000,1.3423144,355.9404761904762,48.5052,182.89849260307494,182.89849260307494,102.253815,0.03054469,0.0002215264,0.1738421,0.0036947215,1.0
5280000,1.3426596,353.50588235294117,47.995667,179.98819589334374,179.98819589334374,100.899445,0.029712865,0.00022105552,0.1736852,0.003686889,1.0
5310000,1.3427179,385.87012987012986,50.60131,198.19176531612098,198.19176531612098,97.9813,0.03112212,0.00022059296,0.173531,0.0036791945,1.0
5340000,1.3426641,403.6756756756757,51.069633,208.80158259417558,208.80158259417558,97.111984,0.028384315,0.00022012598,0.17337531,0.0036714282,1.0
5370000,1.3425695,400.56,49.979958,205.94188979466756,205.94188979466756,94.20244,0.029912565,0.00021966235,0.17322077,0.0036637173,1.0
5400000,1.3426245,405.14102564102564,51.892395,213.53378362524998,213.53378362524998,96.05565,0.029700626,0.00021919148,0.17306381,0.0036558844,1.0
5430000,1.3425325,409.84057971014494,49.498116,200.93535125738865,200.93535125738865,94.53993,0.030521298,0.00021872351,0.17290783,0.0036481011,1.0
5460000,1.34224,386.67816091954023,50.208168,210.37384246386492,210.37384246386492,99.3356,0.028193813,0.0002182585,0.17275283,0.0036403663,1.0
5490000,1.3421007,353.38666666666666,51.183945,183.84518267407137,183.84518267407137,100.19661,0.028347302,0.00021778495,0.17259498,0.0036324875,1.0
5520000,1.341951,356.01190476190476,50.4374,185.68832794044698,185.68832794044698,106.4534,0.027506225,0.00021747702,0.17249236,0.0036273673,1.0
5550000,1.3419503,365.4320987654321,49.776203,193.2966788786429,193.2966788786429,105.18495,0.030541416,0.00021700567,0.17233524,0.003619526,1.0
5580000,1.3419421,420.9154929577465,53.163486,221.18944205700512,221.18944205700512,99.11297,0.028913973,0.00021653467,0.17217821,0.0036116918,1.0
5610000,1.3418369,442.05797101449275,53.628685,227.01448101237202,227.01448101237202,97.936905,0.031335585,0.0002160728,0.17202425,0.0036040102,1.0
5640000,1.341597,375.1645569620253,52.157307,197.99537476708616,197.99537476708616,106.32341,0.028761974,0.00021561095,0.17187029,0.003596328,1.0
5670000,1.3413634,440.90410958904107,54.664326,231.67969021376442,231.67969021376442,99.09883,0.028636502,0.00021514788,0.1717159,0.0035886255,1.0
5700000,1.3413627,426.4769230769231,53.4359,227.01496506418502,227.01496506418502,98.69057,0.028207667,0.00021468484,0.17156163,0.0035809248,1.0
5730000,1.3412375,415.4166666666667,55.09012,225.72742309033032,225.72742309033032,97.69411,0.029273212,0.00021421154,0.17140383,0.0035730503,1.0
5760000,1.3410354,463.375,54.56184,244.7854816656846,244.7854816656846,93.57524,0.028179798,0.00021374287,0.17124759,0.0035652565,1.0
5790000,1.340885,439.30434782608694,54.864082,229.38173137885937,229.38173137885937,98.1332,0.030627234,0.0002134306,0.1711435,0.0035600609,1.0
5820000,1.3406664,437.4117647058824,55.747066,233.65387478996726,233.65387478996726,94.8719,0.030443711,0.00021296174,0.17098725,0.0035522622,1.0
5850000,1.3405396,531.5862068965517,55.4605,277.13289632295306,277.13289632295306,99.6929,0.030942155,0.00021249599,0.17083201,0.0035445155,1.0
5880000,1.3404251,494.728813559322,57.593098,269.26790126703554,269.26790126703554,95.10514,0.030147452,0.00021203238,0.17067745,0.0035368046,1.0
5910000,1.3405043,404.53333333333336,55.760002,215.40841287688204,215.40841287688204,94.201164,0.030230608,0.00021156545,0.1705218,0.0035290373,1.0
5940000,1.3402401,553.7586206896551,59.001617,317.69016639709474,317.69016639709474,92.16002,0.029176459,0.0002110911,0.17036366,0.0035211472,1.0
5970000,1.3400782,430.85714285714283,54.4519,219.94074018572417,219.94074018572417,95.244354,0.03198285,0.00021062455,0.17020813,0.0035133874,1.0
6000000,1.3404175,444.1,57.535168,250.07738182038972,250.07738182038972,105.998314,0.028382674,0.0002101566,0.17005217,0.0035056048,1.0
6030000,1.3402894,482.5593220338983,58.867878,247.14821541309357,247.14821541309357,106.028175,0.029341798,0.00020968885,0.16989626,0.0034978243,1.0
6060000,1.3397263,509.49152542372883,59.602917,282.5454890687587,282.5454890687587,95.297554,0.031608853,0.00020938163,0.16979389,0.0034927127,1.0
6090000,1.3397311,446.3134328358209,60.32706,242.46071956406777,242.46071956406777,97.32623,0.028445516,0.00020891686,0.16963892,0.003484983,1.0
6120000,1.3397719,567.7358490566038,62.013954,317.26071656425046,317.26071656425046,97.87556,0.028039386,0.00020844181,0.16948064,0.003477082,1.0
6150000,1.3393912,507.28333333333336,59.85079,268.88079415162406,268.88079415162406,93.33946,0.027917594,0.00020797152,0.1693238,0.0034692588,1.0
6180000,1.3390261,544.6363636363636,59.82583,297.1370800711892,297.1370800711892,91.51407,0.03010773,0.00020750349,0.16916786,0.003461474,1.0
6210000,1.3385831,431.98571428571427,61.3658,238.81998899708623,238.81998899708623,96.07857,0.028287224,0.00020702854,0.16900949,0.0034535732,1.0
6240000,1.3381546,405.88732394366195,60.63125,214.39217901229858,214.39217901229858,108.14973,0.02833895,0.0002065554,0.16885181,0.0034457052,1.0
6270000,1.3378868,487.1774193548387,60.502132,266.3723600679828,266.3723600679828,110.21926,0.031426083,0.00020624415,0.168748,0.003440527,1.0
6300000,1.3377299,491.21666666666664,63.988075,274.5013377189636,274.5013377189636,97.01956,0.026835144,0.00020578197,0.16859397,0.0034328394,1.0
6330000,1.33763,436.5,60.21636,223.30698402949741,223.30698402949741,106.91598,0.026866583,0.0002053113,0.16843705,0.0034250098,1.0
6360000,1.3375254,431.1764705882353,61.77919,239.79554439993467,239.79554439993467,97.50835,0.028065573,0.00020484743,0.16828248,0.0034172945,1.0
6390000,1.3371537,476.03125,62.3599,249.83648880571127,249.83648880571127,100.611855,0.026529204,0.00020438572,0.16812854,0.0034096153,1.0
