name steps use_torch algorithm num_torch_threads num_envs use_gpu total tc_advance_total tc_advance_count update_total update_count evaluate_total evaluate_count
3DBall 25000 True sac 2 1 False 51.344869753 46.490613613999976 3079 22.747446162000085 3059 1.7786775560000159 2098
3DBall 25000 True sac 8 1 False 84.522722419 79.50037540999999 3034 44.656317448999715 3013 2.9377695199994633 2096
3DBall 25000 False sac 2 1 False 46.218552402 39.54958914000056 3092 14.982543262000945 3071 1.3210350369998025 2094
GridWorld 25000 True sac 2 1 False 519.2306666420001 514.0768878159954 2781 389.8072231560011 2667 7.766815009000027 2781
GridWorld 25000 True sac 8 1 False 704.98416034 699.5526701980039 2780 534.1804859940108 2666 11.099129045993664 2780
GridWorld 25000 False sac 2 1 False 390.93867854799987 383.79128807500297 2781 249.90000973299834 2668 4.187591353003199 2781
PushBlock 25000 True sac 2 1 False 83.41770151800006 78.75376919700125 832 59.44970577799927 768 1.212932749994934 832
PushBlock 25000 True sac 8 1 False 107.48402793000014 103.40252889699968 832 80.32399353600499 768 1.3925633730032132 832
PushBlock 25000 False sac 2 1 False 53.37314840699992 47.50548952899885 835 31.84267986900022 770 0.9456257000047117 832
CrawlerStaticTarget 25000 True sac 2 1 False 142.5332152259998 137.21386232498594 2968 101.55356490300392 2699 4.5124060700202335 2540
CrawlerStaticTarget 25000 True sac 8 1 False 175.8394594880001 170.3236223179988 3020 123.3297486759925 2709 6.38678255599234 2514
CrawlerStaticTarget 25000 False sac 2 1 False 107.12765099299986 99.04866768199963 2872 62.33772640800498 2522 3.287877528005538 2708
