,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.019651562321399,-1.4604965822041933,-0.9112878336289543,-1.2981077375581267,-2.1301548391730787,-1.0382151730515616,-0.9142614548751496,-0.9893490340338085,-1.3824877374111086,-1.47108214426847,-0.9748600318111442,-1.7188049678527604,-1.2119491421653477,-1.5099224510735252,-1.187286300235612,-0.6970373527694822,-1.237425542836144,-2.042315350207633,-1.2236633345277883,-2.0578280152802155
1,1,-1.055614300500601,-1.5393234024751514,-0.9395343396059972,-1.3539610828152233,-2.2126557170569225,-1.0962396082104797,-0.9618514988617028,-1.033315477330656,-1.42343142228061,-1.4980726542184881,-1.0192133939173706,-1.7504298697386897,-1.2595510641151395,-1.5314672551206974,-1.2211657081658578,-0.7511864618045974,-1.2835931226804649,-2.117024306628452,-1.2797625239082209,-2.0869555822923243
2,2,-1.1056314272895813,-1.6071165837057761,-0.9552863178297876,-1.4098800457279868,-2.331898537184121,-1.15244719146063,-0.9885242282313713,-1.071131051982519,-1.4626956240074735,-1.5278766868882476,-1.0666914836794266,-1.8222138098369516,-1.2837592666211146,-1.5384937768956564,-1.2474784590649763,-0.7881675995308726,-1.2942195810671093,-2.1676135922373767,-1.3016164220349977,-2.19256938761607
3,3,-1.1381869826547202,-1.6634456664964332,-0.999475763011088,-1.4517013677230768,-2.3839707099369867,-1.2194432615454285,-1.0174158741834638,-1.1179554072738913,-1.544680154556392,-1.5675782762703856,-1.0955677359097407,-1.8701273493959263,-1.3347417581732144,-1.587981252676752,-1.2557513430933387,-0.8400907864488327,-1.3419860065647966,-2.2514187532768304,-1.3499457963631967,-2.2860587976342788
4,4,-1.2013802771886022,-1.748439340569704,-1.0397058968899426,-1.4836967879608034,-2.469041120792707,-1.2306089574413064,-1.0712223490800523,-1.1683300897328281,-1.609186137176128,-1.5993225198393994,-1.1525809563099303,-1.9538333624395794,-1.3611843742826897,-1.6310673464484708,-1.3262799553820048,-0.8903961064760015,-1.4015344565911632,-2.29536705583495,-1.4253951142674062,-2.339498739228744
5,5,-1.2238727690815616,-1.81411263919488,-1.0742346263412925,-1.5786062922723618,-2.5929302589276007,-1.3039502384075812,-1.116501448559257,-1.2122641619915109,-1.6791583554160436,-1.6270760310488448,-1.176576278218652,-1.9928336437897547,-1.395023414185729,-1.6568097649245284,-1.3473553187901468,-0.9692722171588817,-1.4490126591242478,-2.3647318223433578,-1.4820068101012986,-2.4615600985730253
6,6,-1.2659317438842201,-1.9054015746348192,-1.1247646673383729,-1.601927429498984,-2.6663793363755373,-1.3532610565249867,-1.1602165425411515,-1.2501834705656463,-1.7385124265679064,-1.6583978286501386,-1.2474057232024431,-2.0428143142095503,-1.4064457246674864,-1.693746507729268,-1.3927608815789645,-1.0157007213836138,-1.475977071077021,-2.4450426313432123,-1.5243750467563757,-2.531982863038471
7,7,-1.3163703048937054,-2.019604315759894,-1.1412866413543337,-1.6760166916689916,-2.8108845114534122,-1.3720374372732071,-1.1863867965330175,-1.3241918040786353,-1.7900667090840603,-1.710620777128589,-1.294701418823251,-2.140813878882213,-1.464251799698782,-1.7453178342313624,-1.4154724319904382,-1.0909607424513448,-1.5087268132007086,-2.5009903124503325,-1.5779122127011274,-2.6581851027305827
8,8,-1.3457974161603536,-2.0454376433711685,-1.181275176254274,-1.7388184807735725,-2.887071561444384,-1.4403209411346543,-1.2425592420626745,-1.359148790875594,-1.8551891689369535,-1.7470045681498034,-1.3324460952588457,-2.196425963249937,-1.5143180023874576,-1.7678293893622856,-1.4559943192829141,-1.1588497329110883,-1.5448395718773957,-2.560461116672299,-1.6246214977618614,-2.744141043870821
9,9,-1.4105337509531264,-2.150954611974883,-1.2388106258406935,-1.7839101141637383,-3.0437041601131534,-1.4820689029686698,-1.2722998706223376,-1.433009404960311,-1.9545410546016173,-1.797012228995678,-1.3610276539873272,-2.2715867722603376,-1.5601551607297948,-1.8077979308504868,-1.4983059719515848,-1.1966171758979744,-1.5984525579729953,-2.664676942318632,-1.7000695146938631,-2.8563270288324096
10,10,-1.4565610342420388,-2.27341508201914,-1.2747055120645867,-1.8610767414517315,-3.238240969839583,-1.5416445298164454,-1.3616026029515795,-1.4669476192947528,-2.055264181372959,-1.8570197614120436,-1.440947512798631,-2.3821004098380896,-1.5885830831914,-1.8452319160821329,-1.5212900921641361,-1.293063192480507,-1.6354179028105533,-2.7301849935198645,-1.7373836238836622,-2.953001976653564
11,11,-1.5050703260208607,-2.3425002347473263,-1.2861259923690769,-1.9046081880716461,-3.283097583750298,-1.5748392196884267,-1.4005180030722064,-1.478211039611633,-2.127822404773001,-1.878645156470559,-1.49703520168469,-2.4359355130673204,-1.6158491678721476,-1.9020973996198816,-1.52731573180298,-1.3223430615760101,-1.7022570403174144,-2.8227665908038113,-1.826289817569883,-3.0840605065767313
12,12,-1.5372926637065683,-2.453013724564793,-1.3389021257902234,-1.998515212804323,-3.477985152246679,-1.6337510947245446,-1.4341704899930763,-1.586759864214217,-2.224529663174871,-1.921386731574007,-1.559177163277263,-2.552217950502492,-1.6500235800207745,-1.917688928844084,-1.5672222389330526,-1.4209003128762596,-1.7435262714782103,-2.8934338012212355,-1.898894714755291,-3.192869160338585
13,13,-1.56298889306383,-2.544257958073257,-1.3662421792158268,-2.0584137525355133,-3.645229094008986,-1.6806323851856404,-1.5069840530420313,-1.6263272872230405,-2.3210006864380452,-1.9830205349765084,-1.6161630140452274,-2.6015561013884345,-1.7139383940516295,-1.9838029870153753,-1.6144117704819272,-1.5015723261998706,-1.7928518938246651,-2.980470146529533,-1.9415003835919007,-3.3620486460483985
