,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.879045975355656,-3.3604892385069762,-2.6096297647062254,-1.6475664049942729,-1.0058590995727286,-1.2074927674818179,-1.4421270102976993,-1.4445557745967088,-2.261927297528459,-1.434837828548191,-1.1940658354029237,-2.157977879988138,-1.8352356364721842,-1.4290930115063565,-1.4766446609846329,-1.428955353950461,-1.8530467599636269,-1.761153337203443,-1.7767171720791821,-1.2782416365455969
1,1,-1.932303610880764,-3.49634750432518,-2.723683813519419,-1.7133656993836652,-1.0212566427126784,-1.258672017830096,-1.5144940419263644,-1.5170658942095736,-2.380042528916813,-1.4871107561537587,-1.216170330990933,-2.2292818347104117,-1.886417780311093,-1.462917215937625,-1.5488447716126013,-1.5084538936743526,-1.9051497928024332,-1.771037106045244,-1.8368807764720272,-1.3272789168921542
2,2,-1.9648589635770124,-3.6303136305001225,-2.8771778063783824,-1.7797871074376648,-1.0919815338322503,-1.3039934447289991,-1.5450367501402147,-1.5562840663591446,-2.499003581188943,-1.5099255548136357,-1.2779756118847614,-2.2979905317774683,-1.960447057637606,-1.5379718953826205,-1.639698603762381,-1.552911350573175,-1.9606284508707497,-1.8259667903008605,-1.9433731907322018,-1.3532476903455573
3,3,-2.062791113203197,-3.8559848985641976,-3.0074591706649643,-1.8691157433729102,-1.1129931650442662,-1.3537220536747319,-1.567912673069977,-1.6450819608234082,-2.5772590713191494,-1.5922246496734207,-1.3269950881231232,-2.3854234306083737,-1.9982565659767515,-1.6233701081708476,-1.7483145497742034,-1.6301081791215182,-2.046748342671011,-1.855066224109392,-2.0329898859130386,-1.4135164933016484
4,4,-2.1482966742292393,-4.059480132911087,-3.1777341003519286,-1.9207686882847854,-1.1612300654012515,-1.3962864603123735,-1.6390476045980371,-1.6679918144175163,-2.698167545462084,-1.6451540916909428,-1.3572002341175924,-2.451407691168803,-2.067118784244705,-1.67072454494751,-1.8547222539601542,-1.7169352212977527,-2.057436576619125,-1.9024310821653294,-2.146062362776438,-1.4582521499702774
5,5,-2.219594574137809,-4.336167415805149,-3.341445879894759,-2.006833442508242,-1.188066972615332,-1.4494442516364854,-1.7076147261532175,-1.725288913506808,-2.7884793422252176,-1.7047807773642354,-1.4165139230700519,-2.579677752259417,-2.144459378300552,-1.6890236739780236,-1.9842889709473737,-1.7666932034366334,-2.1247175718314715,-1.925558763870842,-2.2454622161467466,-1.5100118827842488
6,6,-2.2888545060916665,-4.485492887116892,-3.4994002621105973,-2.05649748933608,-1.228753056823272,-1.4842351423833784,-1.7607342485745894,-1.7793290297548896,-2.9274216612178985,-1.7699976839242724,-1.4453153677605688,-2.605461279045242,-2.245693420552738,-1.7728307857780332,-2.0975402020804985,-1.8598614700376244,-2.2142850446733386,-1.9808105885661824,-2.323401927625615,-1.5917757971679232
7,7,-2.3868263549703297,-4.689769121004895,-3.730456176899591,-2.144640751745244,-1.2661080834772533,-1.5383546383494555,-1.8037876750021058,-1.8282738525848925,-3.0243799073185045,-1.7982628834198553,-1.5082064430830073,-2.7457374717932272,-2.320438827235327,-1.8301746535057433,-2.2661071645071824,-1.9327868143837321,-2.2471554268661587,-2.010491949294567,-2.450244362942004,-1.620008901667411
8,8,-2.4655050421742035,-4.99351049018813,-3.961639541247225,-2.227610814598871,-1.2868680800292902,-1.5851870449321301,-1.8689051820402354,-1.8852191159582363,-3.2251940915691444,-1.8715041552040863,-1.5618548456341006,-2.796517330619367,-2.382440530876169,-1.923555558434709,-2.3836326642410355,-2.0238599294990403,-2.322769894203657,-2.041382920209336,-2.605485626654356,-1.6880495728283411
9,9,-2.589791616483532,-5.317225307809147,-4.2039051024058445,-2.3790641155680783,-1.3168081271973548,-1.6553439337403515,-1.9693303589458975,-1.930632368487758,-3.315936412474627,-1.9179223053303247,-1.6041273252143151,-2.9417554873183507,-2.483893926656828,-1.9814892838112603,-2.5479592021303716,-2.1070199267475376,-2.3920877189674723,-2.092101455900522,-2.7188103371267935,-1.752374988703834
10,10,-2.6748773470910354,-5.400853362607414,-4.446309439878708,-2.464740943871891,-1.359080133349605,-1.699512632301642,-2.026586665484629,-2.0111732229831936,-3.511039261456864,-1.9663678971194833,-1.6399210015222367,-3.029221798185654,-2.558523971045187,-2.044906044146266,-2.7502922239773406,-2.1976624756514407,-2.449799072826296,-2.1283262198489346,-2.9046363202225667,-1.7585982737737247
