,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.0670446748966644,-1.5676760735104567,-1.2141619012854439,-2.3927258618734477,-1.4709562948365589,-0.7746423846811008,-1.5647641097507632,-1.3397217076147445,-0.7497102618889656,-1.7124243122170593,-1.379403477678288,-1.8462445251790425,-0.8284241259613275,-2.164198327535094,-0.9699749650690763,-1.3374256156681568,-1.327161586237906,-1.0956726092624844,-1.5603557883687746,-1.2797287806864768
1,1,-1.1012655970287344,-1.6377855326844957,-1.26611862094835,-2.4263387782177666,-1.5284214713340887,-0.8166884468228132,-1.635771613103861,-1.3809706632031709,-0.7725387465919513,-1.779473235444937,-1.431604326879759,-1.8938239079441894,-0.8635366257213021,-2.19894008599066,-0.9908301065449256,-1.4396444789784641,-1.3864466370882538,-1.1320125220060084,-1.643116009618927,-1.3371434558329163
2,2,-1.162800969081994,-1.691997448014264,-1.2973633631134849,-2.509329677647051,-1.584411228721392,-0.8324241760429013,-1.7162478634587606,-1.4358442284124013,-0.8372595847324376,-1.8467514793952056,-1.5204019109818891,-1.9770343061415483,-0.9027815500813015,-2.288593415941825,-1.039860408800697,-1.524631072923575,-1.461007888371324,-1.1832174853275335,-1.7634639643908148,-1.3845732860222528
3,3,-1.1851704818531628,-1.7421873292473093,-1.3305677408696137,-2.592350003426069,-1.6373482770041894,-0.8784068897805559,-1.7732706222273165,-1.4791349338806317,-0.8790191943879805,-1.9186724353234161,-1.5856185069466402,-2.0570912539828172,-0.9547897482847926,-2.357001289687739,-1.0551686349113134,-1.610709889825321,-1.5122379635062448,-1.217254971523193,-1.834972121472663,-1.447596899142507
4,4,-1.2337487551955606,-1.8083216345056115,-1.3730876240046341,-2.660448412658248,-1.6996321766931017,-0.9198552245615634,-1.8824862330591952,-1.5520248002914716,-0.9212442473348605,-1.9507222587846251,-1.6380938611764004,-2.109551948095237,-1.007794436677085,-2.419386057782806,-1.094273191442759,-1.70524536877669,-1.5903794290951012,-1.2550489827760158,-1.9033374163119667,-1.4865505203487357
5,5,-1.2763966065499426,-1.8637832846443898,-1.431155503309951,-2.6868081991032846,-1.7768123983295518,-0.9380911306390002,-1.933789495886515,-1.6117228113768938,-0.9704109101472294,-2.0768374111488366,-1.7159760759403488,-2.227775834187856,-1.0507074341341829,-2.476645027762939,-1.1192476673172747,-1.800579622242057,-1.6612762308538265,-1.2834837902227083,-2.026181506558118,-1.5346948556243616
6,6,-1.3153565160361929,-1.9154604601310283,-1.4729362294546118,-2.775210895249018,-1.8292023966606479,-0.9756236018925005,-2.0165825141863447,-1.6743890819355243,-1.0161039827826617,-2.155481879066159,-1.7714060816164152,-2.249197907431603,-1.1113699104767991,-2.6113887610073325,-1.156768812718618,-1.9297956228097146,-1.7660224670780174,-1.34455170895897,-2.1475267907963853,-1.596611660965797
7,7,-1.3478662000568837,-1.9730364589061156,-1.5244999547214781,-2.863162815590768,-1.8961891829999702,-1.0154732686889703,-2.10910293578216,-1.7374526454673127,-1.0724748831605648,-2.265432069287077,-1.8441316614651466,-2.404294764219262,-1.1453735413936308,-2.6898243062916616,-1.2131011442657715,-2.0241970107730007,-1.822779163788516,-1.3822502057397397,-2.211585256244681,-1.6542611540185337
8,8,-1.3860880692417021,-2.0323184778604544,-1.5760163325435055,-2.9340594856963773,-1.9741992443775875,-1.04573785887801,-2.2230996193073773,-1.7882277249773288,-1.1370181601283034,-2.3227347679685053,-1.9219203439105406,-2.509251450836868,-1.2051384763487845,-2.7481835443619524,-1.2489812086277,-2.1092290754041496,-1.8786565154903823,-1.4226032512053701,-2.3698332754825078,-1.7196084723681269
9,9,-1.4465634352073058,-2.1121295159787223,-1.615060668793467,-3.0586922752369285,-2.0587045177852996,-1.0769328108751366,-2.288338286290263,-1.849689920854115,-1.1676944461795271,-2.475792599127363,-1.999162478872598,-2.5716954591417314,-1.263667535611893,-2.85767539879517,-1.296879456212953,-2.2559149639213043,-1.996037682155448,-1.4653024400434338,-2.506959217053429,-1.7785629519331827
10,10,-1.4977851292661712,-2.1835347061285053,-1.6694758167280541,-3.146008117703478,-2.118544885006578,-1.097656772155061,-2.3878572737689527,-1.9022515380202505,-1.2186953890823229,-2.550146539617475,-2.100168870913736,-2.667538997871963,-1.3083915165957565,-2.9696133597868286,-1.3351647490050322,-2.3697542308406785,-2.0939380779736783,-1.4885624546263485,-2.635306685123691,-1.8492374344416056
11,11,-1.5320982670496466,-2.2867411930314954,-1.7341718535654496,-3.2400430029375165,-2.24019469758378,-1.130628424660166,-2.4743491805991797,-1.9892492219119369,-1.2683897791818766,-2.665193676384741,-2.164557381610119,-2.7727062967170486,-1.37516835649839,-3.0909520392666705,-1.384267315460807,-2.5082836880904473,-2.184137450104251,-1.546637726798108,-2.7987100312000415,-1.9131476418102529
12,12,-1.5858078907817401,-2.3085987497423774,-1.7867389698796436,-3.379146333334785,-2.320182693696159,-1.1500829112033313,-2.594172642293778,-2.069899372506394,-1.3350068588602788,-2.769354997969594,-2.248136047476029,-2.885297956898524,-1.4460663127322142,-3.191909463012168,-1.447239269211661,-2.606358613647034,-2.317536828895733,-1.5827102069182806,-2.972171984668032,-1.9608219043530486
13,13,-1.6245730216652694,-2.4496690307636086,-1.86233070564861,-3.4664398982509184,-2.436900181266705,-1.184867157259498,-2.7467754135334563,-2.1336900591354087,-1.3967385707742466,-2.9245690705796705,-2.328085032621197,-3.0460307853313906,-1.5057969942366616,-3.2977492745998203,-1.4989965062546544,-2.7832279472045376,-2.4342042172326632,-1.6254153231603259,-3.1460795065226277,-2.04091530850908
14,14,-1.6600598121137897,-2.5518562847863424,-1.9093874408575726,-3.5968923611805237,-2.5189663745326363,-1.210295321458087,-2.8281377014915554,-2.213723164540773,-1.4627340213006053,-3.064528168297297,-2.433874503968511,-3.090854013182367,-1.5709506687070491,-3.3920316182397507,-1.5541056154930364,-2.9507661882283527,-2.565735829992352,-1.7067923317309854,-3.3597646453920738,-2.1109566241648596
