,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.0654599459205945,-1.5566758789107686,-1.1907800817417422,-2.342723544109907,-1.5164346579125736,-0.7476813181195548,-1.5771313114421621,-1.3566407875161972,-0.7200479228089779,-1.713769668376207,-1.424604370916816,-1.8748630807695177,-0.845491376341402,-2.07635372276041,-0.957397755048029,-1.296575217560392,-1.3213028685317725,-1.1277995885269003,-1.652272955585982,-1.2701495388925097
1,1,-1.1104115405636121,-1.633239666739373,-1.2269758379264482,-2.3911824732699754,-1.581784289290774,-0.7878203852449063,-1.6449847539570457,-1.4121932569720217,-0.7472238182417996,-1.799172271000642,-1.4842394352590622,-1.9230360031311307,-0.8921113242994083,-2.1411130651556647,-0.9776139122609139,-1.3966728698026687,-1.383574465755767,-1.1658214374196005,-1.7444004126643589,-1.3285366753130414
2,2,-1.1601019520796005,-1.6901779881955268,-1.2586387590568346,-2.46219409745261,-1.6444618350824471,-0.805243372032594,-1.7255083169071213,-1.4702159031905673,-0.804151297903086,-1.8559291302280416,-1.5737538294744027,-2.0177335816831947,-0.9406423146676517,-2.2125840173418165,-1.0220797605759884,-1.489900588641539,-1.4508670662455372,-1.2150759661883324,-1.8728347023900356,-1.3873383754521789
3,3,-1.1864017750636957,-1.743280181643883,-1.2957600532498088,-2.528352016574386,-1.6978987339211553,-0.8493164471292034,-1.7802946467921528,-1.5251131261039952,-0.8540766443865759,-1.933305226429154,-1.6407619291583324,-2.1103724212005606,-0.9897064512257174,-2.2773295148969184,-1.0328878482416906,-1.579397026472819,-1.5138349457718672,-1.2501001140846129,-1.9524381320919257,-1.4386692511053323
4,4,-1.2343126268573492,-1.8015229669790325,-1.3381572065401668,-2.603608387851086,-1.7573003838490113,-0.8927791454833404,-1.8902410682887443,-1.5824336102070182,-0.8880639982970673,-1.980949770056802,-1.7128183516480022,-2.160032825431285,-1.0434594207278065,-2.3436364051332124,-1.069207628144352,-1.6641156147553935,-1.5844960160307957,-1.2851460999367523,-2.040192308404885,-1.478093535687352
5,5,-1.2740329551706617,-1.8484614794149183,-1.3845997082310035,-2.6289099126523965,-1.8280051478615198,-0.9118267041801057,-1.9574112680873974,-1.645226491108008,-0.9421830495560852,-2.09376554742856,-1.79445075674378,-2.271722975838275,-1.0942002756999611,-2.4031151501122476,-1.0905944590829388,-1.785329094880269,-1.6529908929802668,-1.317540273816194,-2.173265502320015,-1.533021104109024
6,6,-1.3171971890754302,-1.912406836341315,-1.4303614199025572,-2.7174374279568894,-1.901547739758861,-0.9497337785323782,-2.036093570376877,-1.7207922305538559,-0.9900782132970855,-2.166731309132852,-1.8571904363385783,-2.3091375844622557,-1.1487548892861468,-2.526846558461139,-1.1334100080775138,-1.8981107409968292,-1.7509191835249538,-1.3729646942497333,-2.3137050796972467,-1.589753086196199
7,7,-1.3573857885182126,-1.9808861234593629,-1.477851454570401,-2.7847063324262478,-1.962551490652935,-0.9888410557472773,-2.1227315247583523,-1.7861078258204126,-1.035841166377387,-2.271790710706504,-1.9244125880965732,-2.4436796878336473,-1.197965038052801,-2.6128758151225693,-1.1826595102332853,-1.9857546445674066,-1.8062367113299473,-1.4051422503987785,-2.4211072400852984,-1.6479000550313458
8,8,-1.382642115327044,-2.0344155561395687,-1.5290060773621825,-2.8518149722308097,-2.042888070171964,-1.0230455830046632,-2.2518708532486076,-1.8309301712993098,-1.0941437565628602,-2.3641248029111073,-2.0204556034410976,-2.554625696060228,-1.2521957216788973,-2.6704728355673057,-1.211817979764103,-2.1141181885753006,-1.8719835372453326,-1.4477825576814485,-2.574493993118006,-1.710306224348407
9,9,-1.4524004510228796,-2.1142219893367784,-1.5661955207603824,-2.972038232038806,-2.1391656155954593,-1.062197935289693,-2.303197930105087,-1.9136897676526388,-1.1291352045227498,-2.495017593528275,-2.0990800938246275,-2.631836087334258,-1.3104090181472576,-2.7660806242343803,-1.2495392062446442,-2.22433834723167,-1.9792885928923079,-1.4863463178090295,-2.7350221213807804,-1.779878487693606
10,10,-1.4951944089041818,-2.18912389774421,-1.6113355978773252,-3.041015619627818,-2.1926975251480343,-1.0780732641169877,-2.395248053366827,-1.9689840523222555,-1.176534415570677,-2.5740902066030493,-2.2005579575066117,-2.7279010650547506,-1.372951874741459,-2.8790805297850497,-1.298171652370895,-2.323231702971429,-2.07293542886604,-1.512130908657725,-2.8986183493928497,-1.8469481343624103
