,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.2593415193173312,-1.7281071295655168,-1.023960603938886,-1.1206017404823378,-1.6985708570184748,-1.0608167405585807,-1.69720027835272,-1.0493375770906355,-0.9989987741164076,-1.6817040204442728,-1.1634478154853476,-2.2023549362443,-1.6605195225220375,-1.1467887296753845,-1.63989604433071,-1.6157592422202423,-1.314706532338093,-1.6410233224487272,-1.367480437263601,-0.95391411420801
1,1,-1.3300371598293048,-1.8221275160380526,-1.0524500410693782,-1.1862565783772987,-1.7702653961267745,-1.0982441718868956,-1.785921230772324,-1.068878295269079,-1.0535401956624417,-1.72797553022067,-1.1878569858370758,-2.3107597492356304,-1.7066148810884294,-1.1928042348436418,-1.6976470008505082,-1.6737612050380282,-1.3640239437068786,-1.7135336920364526,-1.4270499199360378,-0.9941932037271874
2,2,-1.3792863099250334,-1.8505753739139876,-1.0762565719024184,-1.260474307613149,-1.8318791111806696,-1.1489972271190743,-1.8422695700231575,-1.113718684668228,-1.1052143207200535,-1.775888355864387,-1.2230526281112795,-2.4877302720554897,-1.7690648263365127,-1.243414084236552,-1.755301774291853,-1.7264067034272932,-1.403045668609516,-1.7654227315970918,-1.4600010258474019,-1.0487437919734093
3,3,-1.4250149300140873,-1.903867291546066,-1.110853399908746,-1.3570164050365725,-1.90536797234966,-1.1862849650514358,-1.9389220835805068,-1.1404430390357543,-1.124680943523219,-1.847338565537525,-1.2569876826583855,-2.6586919643804428,-1.8200183432174788,-1.290599728701016,-1.8319235128283353,-1.7591382700271867,-1.444962128619758,-1.8510546968659232,-1.5053785775817945,-1.1130169781748402
4,4,-1.4982169992627263,-2.0064079759024946,-1.1516875442833456,-1.4417059783687047,-1.9716417455715471,-1.2292009793186967,-2.0123965735617415,-1.1787790384168157,-1.179872993345789,-1.8876901508130963,-1.2906494221139677,-2.8386490856310824,-1.8801205239248464,-1.3174661581518432,-1.8686737426070512,-1.8086413398676744,-1.4769714203537978,-1.8963646797854512,-1.5348238255719173,-1.1663352796024413
5,5,-1.5581081251815487,-2.0397727135430794,-1.1789506040830915,-1.524986430686513,-2.0410744922480015,-1.2725336482118998,-2.094110849728902,-1.2347045661509217,-1.2289025807380398,-1.943599455831814,-1.338647013039422,-3.0095032947544085,-1.9571434493231858,-1.3763166296527427,-1.945082405395681,-1.8738038400323058,-1.5251735673073823,-1.9864609381668508,-1.5806160522541068,-1.2233465639854932
6,6,-1.6238631628165112,-2.1428781303086297,-1.2101819747226699,-1.6277799737748795,-2.1321085822684482,-1.3133279587454418,-2.199769411966666,-1.250558593479822,-1.2866631478874155,-2.003380876744864,-1.3681694261025237,-3.260380286469093,-2.0280635743606568,-1.4413095848037762,-1.9846254274883737,-1.9360009810437706,-1.5462393213046575,-2.079309523215241,-1.6294587366344522,-1.2691270854564916
7,7,-1.6931003642727414,-2.2081980648157677,-1.2618993951144966,-1.739090940112046,-2.2107682657466734,-1.3588003579293757,-2.2606982558349156,-1.2800450464471964,-1.3223448664136772,-2.079811292197773,-1.4058674883656093,-3.5069448833355072,-2.1056890380270095,-1.4851336357345923,-2.05758004456964,-1.9672507886940545,-1.6084561364652765,-2.1676224536949005,-1.675776299858845,-1.3188699473471475
8,8,-1.7641078793395177,-2.3045449320452933,-1.3045334018080967,-1.8570839432753536,-2.2838980665079145,-1.3850394225985345,-2.3722264465137974,-1.3414388594019144,-1.3975746657680255,-2.146092263745435,-1.4570209588471963,-3.7955546864877503,-2.204379486967849,-1.5346436654152387,-2.127468046309943,-2.037520735857594,-1.6422289106769936,-2.268173901101249,-1.7356225030457244,-1.3928614452003074
9,9,-1.8499591985038248,-2.415777215525615,-1.3596188078433111,-1.9921804070405005,-2.3738747290377495,-1.4324238809709346,-2.4835285529872677,-1.3777249569567949,-1.4375473813423592,-2.2078008186555813,-1.486778449091705,-4.115862191863493,-2.30349501752085,-1.5887210508907672,-2.191342478768654,-2.102981338881673,-1.6878702407667228,-2.3764277625305383,-1.7713806789717348,-1.439884525132006
