,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.3408024707121733,-1.761277792824698,-1.0535381170601406,-1.1593125408139127,-1.6607928617648469,-1.0680661149156832,-1.7246585333185882,-1.013434318197739,-1.0018280528276813,-1.6695940346562583,-1.1769906978100844,-2.3764180037945017,-1.7008658849291356,-1.1133063160432572,-1.625938272085503,-1.6113123829162528,-1.3147554994841901,-1.6712472373828624,-1.3815097234439735,-0.9430782779019777
1,1,-1.4184401192995542,-1.8730155474390495,-1.0768546727546309,-1.247981404889622,-1.7429019243520187,-1.1041650101192828,-1.835786513149596,-1.0419931986944282,-1.0591259431636415,-1.7318834409876827,-1.2024587753326537,-2.527062093870303,-1.7467067168700507,-1.1615875532936242,-1.680307496283914,-1.6697238158716476,-1.3593035294457596,-1.7606307949972355,-1.446357904630292,-0.9982679104374822
2,2,-1.4739189778641602,-1.9087646895796342,-1.112636430900436,-1.3261641705695226,-1.8214237505778565,-1.1661992437372621,-1.889265671004432,-1.0904989190092635,-1.107681393728842,-1.783208418322763,-1.2431412586515052,-2.74848767780446,-1.8253321880450588,-1.2131504551760448,-1.7488594411156595,-1.738730550970183,-1.4090502819234836,-1.8139754129613848,-1.4897001521524482,-1.059099967622358
3,3,-1.5365179826388429,-1.9887012356833944,-1.1498381569937197,-1.4420173385363808,-1.8888847208127075,-1.2060301756826963,-1.9955032290391883,-1.1132442845590442,-1.1287717859828472,-1.8706962833737177,-1.2789428389477846,-2.9913986506219175,-1.8931939430098124,-1.2701274969613388,-1.8232128263736571,-1.7822766141012485,-1.4640368578563656,-1.9129866195806193,-1.548352617285178,-1.1226167932106519
4,4,-1.6247867760297527,-2.112697697759538,-1.1946892091788568,-1.532451545801336,-1.968654090065149,-1.2526752333155224,-2.0871702301663255,-1.1506321241318411,-1.1946211515167797,-1.9057429906979382,-1.3162044342986776,-3.2171732795389336,-1.9569529451497807,-1.2962817481477953,-1.8675670362098282,-1.8387778771875691,-1.4960376994178277,-1.9601279929229882,-1.5826316119575092,-1.1875771003214965
5,5,-1.694153812185464,-2.131127447667251,-1.230945459568388,-1.6505293675061945,-2.050659384175559,-1.2974829428062389,-2.177140904654036,-1.2206967362574674,-1.2433126901661775,-1.9846790876213152,-1.376231700659515,-3.4519782655925355,-2.0511873062912,-1.3660281488286425,-1.9537224286068358,-1.9076092173643313,-1.5556996892552233,-2.0594366267043824,-1.6288545784520767,-1.2535789285363483
6,6,-1.790379541303801,-2.2644493079075567,-1.2551418498791889,-1.7555054924262687,-2.153731371271256,-1.351728697353371,-2.3057153095757634,-1.2445931129710113,-1.314125872924668,-2.0595242267059026,-1.4137246613609433,-3.779402664842034,-2.166041941319828,-1.4423824676562083,-2.000126620689054,-1.9811339981906944,-1.5797514631456293,-2.178524704187489,-1.6949283357317066,-1.3080599632338514
7,7,-1.8556083227717945,-2.338897675220173,-1.3299715461586168,-1.894333247037458,-2.2416917552952103,-1.4023772219447947,-2.377299840181719,-1.277695671506403,-1.3447681089419856,-2.1365994947052176,-1.4495030541361664,-4.111534868039777,-2.25323768198745,-1.4812031393371996,-2.0795053211173116,-2.0168587217004172,-1.6356600782946393,-2.264369589285334,-1.7449881984545266,-1.3574721815185593
8,8,-1.9566217773268153,-2.4882994892846795,-1.3672934260661564,-2.0474239641859935,-2.3289995073390655,-1.4345792791775394,-2.486434359724483,-1.3375442817726975,-1.428333932728275,-2.2235736125333374,-1.5161272992005879,-4.557799635002379,-2.360182069756068,-1.5449807616230613,-2.1472606317302954,-2.0919130560774213,-1.6783561365140616,-2.3725369712936883,-1.814102595129219,-1.4517851223343865
9,9,-2.0545384309951973,-2.6056208463960195,-1.439637190652694,-2.21097918373166,-2.4430419718750414,-1.4907252839429774,-2.622952237197363,-1.3845049060265047,-1.4755111159289693,-2.3059391844901307,-1.5504962564992593,-4.997168534812019,-2.4740321881823313,-1.6002487226237063,-2.224112489033539,-2.163500225943715,-1.7232199466564295,-2.515905076162405,-1.86098599707173,-1.5056650493588364
10,10,-2.152180782642612,-2.7213166730211205,-1.4773389674733106,-2.314890596345921,-2.5450430054160824,-1.5625556489199477,-2.7179707337711974,-1.425950884302634,-1.547614051414094,-2.427345204196305,-1.6114172156411786,-5.436708478903683,-2.658951885428557,-1.6477502890269626,-2.311251279313773,-2.248374486594775,-1.775812777863785,-2.605386027610457,-1.9423458752873555,-1.551551103774567
11,11,-2.256252669528279,-2.8065606654494943,-1.5581410059208614,-2.5401650345501725,-2.659283674109282,-1.5992255808021478,-2.9006863387861657,-1.5015628901210258,-1.6119335499476897,-2.5088019583770964,-1.652993268000219,-5.874308136587633,-2.7651019586128895,-1.7137442070034088,-2.3851752026262862,-2.342373332683688,-1.8462939244414338,-2.7126066925289676,-1.9835642016285098,-1.6535644654466186
12,12,-2.401669153785812,-2.9850764155103766,-1.6086340556587972,-2.7166624357293734,-2.790501079394156,-1.6372822238628348,-3.0298071685459496,-1.541706463564831,-1.6890865522391536,-2.622121940767318,-1.7139830250686114,-6.019778966123924,-2.908632412065081,-1.787463385360103,-2.4906547160210786,-2.4072553731267616,-1.9034186853234145,-2.85684762422056,-2.0537010959914683,-1.7269888678825345
13,13,-2.4980024469376385,-3.1601144715412817,-1.6833687638116959,-2.964687417349196,-2.954064420457845,-1.728137522607159,-3.1868296756062517,-1.6094225556049897,-1.7719303361941905,-2.758134107447015,-1.7874215427045823,-5.898043750745027,-3.1281754242973485,-1.8427663112119717,-2.555970046513791,-2.4881503769058937,-1.960873904756867,-3.0379164787782935,-2.130576560303405,-1.8136280678576542
14,14,-2.658234874524982,-3.327158853450515,-1.770345009312235,-3.1694944879440645,-3.0850874499668497,-1.811388871590524,-3.372066154368131,-1.6618138778807388,-1.8554632499598906,-2.8732753452206015,-1.83060398266989,-5.420310673223616,-3.2986229759772385,-1.915129755403524,-2.6261312752147132,-2.579055890091734,-2.0111358345842665,-3.263843038475965,-2.1937669677887994,-1.902861133184468
15,15,-2.7765615087855076,-3.505818660117904,-1.8537877417566693,-3.4612883330278885,-3.273169273206604,-1.8567089170669804,-3.5276996479091034,-1.7039267953786463,-1.9540782006038184,-2.9852282831727255,-1.9184961288904583,-5.245012293795672,-3.520435793642141,-1.9868483085650317,-2.7568159975664934,-2.690429641699216,-2.0806209918198917,-3.398779415447821,-2.271968077092184,-1.9905144366036078
16,16,-2.9802180866888635,-3.738587670068129,-1.9495719007607617,-3.7888606946851833,-3.426659596338779,-1.9439079525644167,-3.7193847610287327,-1.7688522743182473,-2.0246522641827114,-3.1473327585176,-1.9829014558621294,-5.0568979448671545,-3.8186784975171766,-2.0518498069593756,-2.839523666820679,-2.8093901238907613,-2.153784624498854,-3.6012459267660515,-2.3602280086839222,-2.105207484434095
17,17,-3.1174981823623487,-3.9824890141283653,-2.0676293831543906,-4.084310181899435,-3.6059064731322024,-2.009906593266713,-3.883775490180719,-1.87845996270916,-2.1228565871077403,-3.3937225455871562,-2.057391081503703,-4.859187591173863,-4.139843737983796,-2.1676433954426724,-2.980466170309016,-2.9262197682368676,-2.2111115574219298,-3.8396625365956547,-2.4684482098666676,-2.183364413985543
18,18,-3.2791760348348213,-4.18093926600373,-2.154449039262916,-4.412310073427374,-3.817638081180263,-2.096520429365964,-4.113196744456932,-1.9674427240828858,-2.263129164764016,-3.49195577833538,-2.154565293591434,-4.713044891249521,-4.300007359711405,-2.2331840565196472,-3.0834672777535532,-3.042825592600614,-2.2906330774727333,-4.124372739554795,-2.5364711920640293,-2.2857158631976784
19,19,-3.4993938417268446,-4.497102984336154,-2.2735681832661614,-4.702820873801504,-4.13038604431224,-2.211452477870891,-4.346191929498566,-2.0117371786644247,-2.3649673318521964,-3.738915007466218,-2.264401541266535,-4.766608124939612,-4.720834318033033,-2.3185170606502172,-3.2372440268156315,-3.196279433433881,-2.388851254553268,-4.487275926044201,-2.6439227056084675,-2.3995293559918225
20,20,-3.7359159192149596,-4.754363729811705,-2.437039092708086,-5.012392528867018,-4.325570471554882,-2.2828194931462087,-4.608785372226946,-2.1171012519618624,-2.469084466443405,-3.9412646834505174,-2.364669915010033,-4.73261540425164,-5.09677383667505,-2.4368077274570132,-3.382877185324921,-3.3539696502829304,-2.4627542062722734,-4.798091258949648,-2.675958156625339,-2.5151220522569533
21,21,-3.9616838808382986,-5.077140323007589,-2.5295577395770215,-5.0809743956902675,-4.630691373670957,-2.3665112569468936,-4.888096542529748,-2.2374213083022254,-2.6179814463185127,-4.156120976407853,-2.4311464339956337,-4.867007312338429,-5.270553050212718,-2.532064777465948,-3.5479915533247937,-3.5295884779080047,-2.5439069429861645,-5.182872021184031,-2.820297856623128,-2.6404713656246646
22,22,-4.316531143054502,-5.3164260451923,-2.7339289939010967,-4.950608011262083,-4.945119081445044,-2.5003860716233275,-5.237576329215951,-2.298666888299816,-2.7725703188723463,-4.499922587164661,-2.5875724864586815,-4.9566582196748765,-5.410409540979057,-2.6971308710856516,-3.6774468070357686,-3.7524557559686613,-2.6489752027945985,-5.6218090227203525,-2.9457636344103686,-2.7644558562131767
23,23,-4.6436055414964885,-5.6024017459073745,-2.8773715012695438,-4.856344104565258,-5.3468810982526875,-2.620705124962915,-5.506338866449617,-2.4338042602524093,-2.937926709319997,-4.737752043959083,-2.6996811548523274,-5.093822902081889,-5.273488824682189,-2.7777881462415692,-3.9142870457593806,-3.898337387723542,-2.744659655533294,-5.799488393491021,-3.0424646664004094,-2.9241275538844507
24,24,-4.915732315342816,-5.560717470101043,-3.124580532432119,-4.623700726352894,-5.701958666549952,-2.7432571111669453,-5.582914193310606,-2.5526265515116573,-3.1027190890013423,-5.095835115346917,-2.8394675726471097,-5.270768237426402,-5.108410551112317,-2.9159072733254705,-4.1124003253714205,-4.131637404123407,-2.8900502124545016,-5.944240869111217,-3.1713867201458927,-3.0877249819971806
25,25,-5.1022307661788675,-5.48031954526719,-3.3486555297581075,-4.433674774702736,-5.968362592955065,-2.8810363092880964,-5.799425342081929,-2.674180348014717,-3.30366139428296,-5.382475545288162,-3.033447313915124,-5.388344205629121,-4.840139517726762,-3.066935056651509,-4.343156713483837,-4.342264287217376,-2.9743765175077383,-5.81526102324702,-3.288462732041415,-3.2461031875133943
