,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-0.8685982237277428,-1.7010117675392817,-1.2147848642667483,-1.244259476705738,-1.0431770170870749,-2.4093659300676973,-1.2036327354407994,-0.9181507622830423,-1.126081290374183,-1.016938103228712,-2.80909874574078,-1.5510053009651203,-1.138513640290853,-1.0200885342791013,-0.8172499032286655,-0.5359962565048012,-1.8879145487716935,-1.9770069086638327,-0.6056484331978376,-1.3774245829707916
1,1,-0.9365468944102355,-1.7973528276638784,-1.2863954433919584,-1.322152598079413,-1.0935148109968365,-2.5270406589280436,-1.2410939295117958,-0.9735243205921285,-1.1622514224926432,-1.0630169572491128,-2.9794040226946055,-1.610505585924521,-1.2127319524287108,-1.0647382981303524,-0.8889433771733407,-0.5941661851969705,-1.9958447441299816,-2.0517182191433188,-0.6593125558755016,-1.4512904814603607
2,2,-1.0174483631794211,-1.8812902195700336,-1.3398586264799028,-1.4179043341333524,-1.1303597927487437,-2.6023220232339566,-1.297000889159175,-1.0136181781072908,-1.1911827096785446,-1.1001454541526836,-3.119716432019856,-1.6957810390689831,-1.2478241116662652,-1.090787437128405,-0.941802252305297,-0.6502074496644089,-2.1361783159794294,-2.1174471905607,-0.7018005132948516,-1.503862317293456
3,3,-1.0673081176658883,-1.9493718409770802,-1.4210118676554166,-1.520668361672187,-1.1603820149101185,-2.6902245391948822,-1.3453365160356416,-1.0663214275111075,-1.2537352575924123,-1.1704477197667664,-3.328372141593581,-1.7468720346868445,-1.317179167050022,-1.1265706687490329,-1.0235765740420335,-0.6986919201795047,-2.239396731473701,-2.16336222869218,-0.7211778987865166,-1.6208767370300845
4,4,-1.1327510373711893,-2.032935997635195,-1.5041191982130098,-1.6108378281980609,-1.208708457978843,-2.8137418471400575,-1.3933963616736629,-1.11190475509748,-1.3027907124063045,-1.2144311973880606,-3.514533084636996,-1.7972975546620564,-1.3629815738104583,-1.1698791932965413,-1.0999994120278302,-0.7519041985337873,-2.4046091423707523,-2.2281363675308747,-0.7743547305420756,-1.6994270547065988
5,5,-1.2124853797226514,-2.111340972821854,-1.5604991273467637,-1.706505331079099,-1.2525784111466045,-2.918005217569898,-1.443377359805159,-1.1600375995709267,-1.3688073472699718,-1.2570400450496697,-3.723766518397544,-1.8905769798065983,-1.4309352538457039,-1.210364022195092,-1.1741300601307016,-0.7975049644633112,-2.5235695387964885,-2.31979685283174,-0.8193696765701235,-1.8054260570873952
6,6,-1.2788069207392112,-2.221859408547693,-1.6673603240843866,-1.7982157724496948,-1.291399848140672,-3.0604906093875575,-1.5028174023084968,-1.2202982495452008,-1.4091248177519482,-1.322538812481242,-4.055430195154677,-1.9660017681232544,-1.4811341500551911,-1.2302153619228593,-1.2644044310943394,-0.8600215167502764,-2.6483016107605084,-2.3733347095473194,-0.8438798700744043,-1.8635906871847125
7,7,-1.37631969501175,-2.2948858009713033,-1.7586672354314374,-1.9082980904576414,-1.3278837476622738,-3.2021706347103187,-1.5643726066675745,-1.2760886112711298,-1.4631727036652002,-1.3769560718369882,-4.355650869910168,-2.04603603711586,-1.5056491551930995,-1.2880306394275616,-1.3530191311830118,-0.902693679863109,-2.84170878236071,-2.4273086875453904,-0.889282056805816,-1.958614284316889
8,8,-1.4543312383636704,-2.401294781118498,-1.8307607077437846,-1.987672115991787,-1.3658137137380926,-3.3246919086042497,-1.6253887872270052,-1.3244345314819834,-1.5185086698991752,-1.4421626633509368,-4.797602514794186,-2.1353493557512024,-1.5733949707022736,-1.3474328915219667,-1.4287857134465431,-0.9809546677488247,-3.0166822109532974,-2.5238074347125234,-0.9247320348212194,-2.0641080557821816
9,9,-1.5248453981957821,-2.479739722971645,-1.8684793097498074,-2.145371855762911,-1.4108583394682728,-3.4817876305329447,-1.6753668560210306,-1.3884299892432515,-1.581750980206165,-1.4994281381212784,-5.085986569983978,-2.225749590685798,-1.6228720883316112,-1.3794101664857883,-1.5166521690859776,-1.0341641104003751,-3.1870139418602386,-2.6151532386920127,-0.9784492011612893,-2.1409803983880336
10,10,-1.6210267404756973,-2.608611081725628,-1.9697866504003738,-2.23633597393472,-1.4371482494042345,-3.6243637372165396,-1.7541462972523825,-1.4334051337304536,-1.6380333864909995,-1.580379734835753,-5.634747688948506,-2.3332339423288286,-1.6775135789808133,-1.431583698964266,-1.6121398029515748,-1.100242158885897,-3.3718800758130816,-2.712613219099888,-0.995448609405481,-2.2355622912532382
11,11,-1.7326775775833358,-2.6791788442601954,-2.0809522875743145,-2.3937683231593048,-1.4936582191973107,-3.80441252998892,-1.8222496845323946,-1.4876945845211014,-1.7104962061683484,-1.6510568033497919,-6.096822549206149,-2.456077866662831,-1.7501703165169076,-1.4791250658629795,-1.7200739525765616,-1.1601702962081086,-3.6227966262644595,-2.8008954232025856,-1.0272453252095346,-2.334976824561544
12,12,-1.8167016609975635,-2.8298881216828518,-2.140120232131888,-2.526422722424405,-1.5396985777803298,-3.9582445504842365,-1.8902489039212629,-1.547991011349396,-1.7840649378571953,-1.7388422907834125,-6.1082301108751516,-2.543724248111867,-1.8044957027641553,-1.5349461864575544,-1.8045162137309354,-1.2312439070938208,-3.83279133059956,-2.868342481344699,-1.0659982147169045,-2.440613114339799
13,13,-1.9417220087059321,-2.944536903771306,-2.2448395857518357,-2.6670103897212063,-1.5700492605142229,-4.207115278918981,-1.9548625180508448,-1.6452336338210587,-1.8618926836207528,-1.8091288617848733,-6.045533591690819,-2.6765594426673895,-1.8779483804231805,-1.6015198928281968,-1.9299997902857662,-1.3006604431045639,-4.172716294365051,-3.000908609139,-1.1024812515429816,-2.552601000395329
14,14,-2.068813620588606,-3.064909690038093,-2.331049139759282,-2.839398648689702,-1.6157374703589966,-4.383886216327628,-2.034354283945214,-1.6887021061209107,-1.9271939637274105,-1.8934032252845414,-5.707856233849216,-2.8129155974531677,-1.9601485699156584,-1.6512837048903848,-2.0354824066472035,-1.3722101700096223,-4.467377294278818,-3.1143378397120505,-1.1391114200938048,-2.6700456069178706
15,15,-2.198486529395295,-3.1779845238869076,-2.431384882010547,-2.988661476946446,-1.6695177911191372,-4.667761973543543,-2.1457988765626603,-1.7725468904746158,-1.993930677392165,-2.000590359303327,-5.440710755077274,-2.9921672032717237,-2.0361495826899767,-1.6971442684502924,-2.1570776130153972,-1.456086471020649,-4.8613305644363445,-3.2458421657438987,-1.1660787887314652,-2.806051616228037
16,16,-2.314833786861711,-3.3059962286459537,-2.5528247730461775,-3.1364449632262374,-1.7140552043107409,-4.929581724848702,-2.2145846928704374,-1.839190756132209,-2.098111067294772,-2.0894865503018054,-5.332495807570224,-3.1519398093955293,-2.133479742009709,-1.7730306921875842,-2.307863593324623,-1.5493442035412979,-5.286609875669617,-3.3492982359265198,-1.1972770091585219,-2.9200825335243166
17,17,-2.4851790855165237,-3.4942372666565293,-2.624816003267284,-3.3388578539505955,-1.7611125522697553,-5.227628440864321,-2.303041950153602,-1.9226925511427053,-2.1945527062497012,-2.201911234211806,-5.16583942469416,-3.342763212867805,-2.2326701193453613,-1.8622330016364415,-2.4439074710010638,-1.6378537296605191,-5.754734878318145,-3.509702744629266,-1.2353074316031538,-3.0663740944369855
18,18,-2.626699779457056,-3.631806641526048,-2.768139251402258,-3.560927297907685,-1.8224491380549568,-5.667723285055626,-2.394221860840687,-1.981805135186827,-2.2876375364564696,-2.283839458102903,-5.209630170502317,-3.572504975852178,-2.3245766140241155,-1.9315706385794456,-2.5951228500294925,-1.7388603409643988,-6.186044082392834,-3.664835753856699,-1.273213976575706,-3.2350276034136467
