,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.0695297905562946,-1.5155241102344823,-1.2314698776448025,-2.377403581382574,-1.4733695818979768,-0.7916806460603782,-1.5867522601875865,-1.3138469952285257,-0.7782488378279511,-1.6964558796868523,-1.4104963783654292,-1.8642472663333627,-0.827877439222881,-2.1439765186651325,-0.9581335604690451,-1.3565957569253944,-1.305075649463558,-1.0965023272237062,-1.56312011175179,-1.2839037600056362
1,1,-1.1087379290231563,-1.5792414407929607,-1.275595968776454,-2.4248357035370627,-1.52864356288571,-0.8238476908935121,-1.6633330535611626,-1.3632289420593697,-0.7923514366226659,-1.7791685708206404,-1.461790618514268,-1.8894557121502722,-0.8681818825174807,-2.208474163130689,-0.9722137738754039,-1.4504455677847066,-1.3687223074417043,-1.130238583907864,-1.6302760342806597,-1.3324336624329218
2,2,-1.155714755713032,-1.6331792330543056,-1.2983810914875789,-2.488733810177191,-1.5827027370318305,-0.8395410401691916,-1.7188852732226747,-1.414561330143896,-0.8555321236112104,-1.824194538625858,-1.5365817629243494,-1.9964712545800307,-0.9084701739668007,-2.2956602876352687,-1.0187128307584987,-1.5428565467416364,-1.4246770304506762,-1.1831287155395973,-1.7511968695376214,-1.4014554473201022
3,3,-1.1707386466402392,-1.6785411416749039,-1.3422141916429942,-2.5682432652285,-1.6304101610138269,-0.8849211941287488,-1.7767039102405533,-1.4536466625720637,-0.8942757643748048,-1.8996385387583863,-1.5967440778595854,-2.068439854574364,-0.951784595232517,-2.329870765528076,-1.0335003378116472,-1.6242207245663973,-1.4833236866570552,-1.208852526458546,-1.8008117578396157,-1.4334410133670297
4,4,-1.208510358481027,-1.7422876952285575,-1.3755107545524405,-2.64453980083804,-1.6945550085007413,-0.9297043755492637,-1.870760486679723,-1.5260629662353529,-0.9344859484799463,-1.9339007238521126,-1.6471315675115545,-2.1089553704875486,-1.0010486026522696,-2.398864353665759,-1.064233644539139,-1.7057617237190659,-1.5471253484881504,-1.2439266865912113,-1.8833786514273254,-1.4608857308066545
5,5,-1.2547174882066474,-1.775632169769617,-1.4323377909558015,-2.6492742909231177,-1.7352833546641413,-0.9426531491605444,-1.929432146383495,-1.577289563703969,-0.9836767717739299,-2.0412541234420054,-1.719109270659645,-2.2267363171647516,-1.0420621766146656,-2.4464937055855587,-1.09463380542654,-1.7907564920535508,-1.6089069811593169,-1.277167176021783,-1.9851945467342105,-1.520019446214655
6,6,-1.2887785670549772,-1.8237661016516746,-1.4669862520567318,-2.7382128212352645,-1.8127320312883102,-0.9722972687582231,-2.0094048221931247,-1.6433123973297248,-1.0257365919852213,-2.1174471547289992,-1.7727447549431308,-2.2431886910408405,-1.1094524906659424,-2.5714648749851885,-1.1302070409165788,-1.9055436599403308,-1.7083059734960715,-1.3203531296622966,-2.104809722058074,-1.5765344677031903
7,7,-1.3209115425984064,-1.882176651425863,-1.5233038554588363,-2.800449248245564,-1.8709328903558002,-1.0146049137752982,-2.081947092623252,-1.6930592045250434,-1.072858340356087,-2.206724602041397,-1.8330130550619088,-2.373612533692011,-1.1345045480927842,-2.6381731380719504,-1.1786583954565562,-1.986022199421221,-1.7561223845946192,-1.3566631913980367,-2.1681567630497436,-1.627259312663793
8,8,-1.3462056947099421,-1.9294658439920918,-1.5609621110034413,-2.8658294158998823,-1.9443326251826036,-1.0314868658998435,-2.2010179695733427,-1.7334891236138439,-1.1320457709766245,-2.2807571446240966,-1.9198452497747713,-2.4832798779908036,-1.1871071759770544,-2.6682203604529824,-1.2161032796260645,-2.0863607334149723,-1.8068973989556556,-1.3960118850979997,-2.30178755225576,-1.6790417160993316
9,9,-1.3992481187183707,-2.000074406270936,-1.6030382877775804,-2.974282859890075,-2.0118347588118084,-1.0676137020051335,-2.2568154142232073,-1.8021537229206395,-1.159962863623469,-2.3997936240243,-1.9882683825760683,-2.545801312649733,-1.2305693597013516,-2.7581241120285527,-1.2484773962653217,-2.2108674386155567,-1.91066158393361,-1.4402758293046705,-2.429982250554822,-1.751247989792062
10,10,-1.440156794572278,-2.0635777504986472,-1.6527468192964105,-3.033879738838642,-2.071335480136254,-1.0843623160870148,-2.3361814457508743,-1.8423709759384803,-1.205129033124338,-2.4747937541166265,-2.0940881521035983,-2.6534532856421267,-1.2834785185058966,-2.8470631451203845,-1.296288793579014,-2.2971602542432916,-2.002523119798092,-1.4576237171713204,-2.54742064164137,-1.8137533306570128
11,11,-1.4704197783547721,-2.133796142498675,-1.7036822493013362,-3.1438795458717195,-2.1782580610095037,-1.119036616393983,-2.4301138867473764,-1.9202513862845367,-1.2512536608544207,-2.571364606899547,-2.1502740481582987,-2.72733211825454,-1.343323893000098,-2.9590748282223824,-1.3402247525511028,-2.461067261350514,-2.074668094433869,-1.5094206408253406,-2.6624967681096274,-1.8621905463440447
12,12,-1.5142930574196352,-2.1812094490470533,-1.7602154623456336,-3.260594872946845,-2.2531678714914607,-1.1255679846373101,-2.5285015825527046,-1.990035458501616,-1.308403142845345,-2.687565353485657,-2.2217878287873982,-2.842591028316348,-1.4120645120836415,-3.037018742753656,-1.3886899961389478,-2.5519769960536833,-2.178822960223513,-1.546429797843344,-2.826716312058874,-1.899392205714106
13,13,-1.5560941066717162,-2.287966025518779,-1.8310213983301482,-3.325397142876591,-2.3601696301096915,-1.1611851286678085,-2.6707835046212924,-2.0491413387611104,-1.3553036312116153,-2.798071991662485,-2.2719595265737107,-2.9802666364264327,-1.4620303119168765,-3.1090172720426037,-1.4296268210742984,-2.710661544021265,-2.3091592003401336,-1.5849738910392086,-2.9940570829726623,-1.9780864101091726
14,14,-1.590444820852092,-2.367979276029969,-1.880938201218533,-3.4450376653185244,-2.463343047778719,-1.1853575338740363,-2.75388075652297,-2.1367477726717867,-1.4149274973116117,-2.9312296371909223,-2.3794046911177635,-3.0417197302718515,-1.522059178045888,-3.205699065309041,-1.482325430426,-2.892752053607695,-2.4238122209841584,-1.6475473756539212,-3.154019576459102,-2.0600071371614463
15,15,-1.6530437958171826,-2.4402936089810945,-1.953610847082813,-3.54504577263287,-2.539819233227232,-1.2009657348304,-2.866571144146551,-2.2354521552289612,-1.4388070762799392,-3.0934471540039814,-2.460396959850406,-3.1525576498249315,-1.5909427879967746,-3.346588352126607,-1.5328474595294574,-3.04233854716445,-2.533974857458827,-1.6849026431710825,-3.314902011901504,-2.110709543186758
16,16,-1.7088533086858209,-2.5351642007157444,-2.0011306522687233,-3.6293806059279294,-2.6176739047996778,-1.2276877053142417,-2.9895129765422026,-2.298751044717046,-1.5001909459742577,-3.2024670036262073,-2.595461544077036,-3.3561849875717513,-1.655851755004226,-3.4365285133222985,-1.5743426161337832,-3.1872822850935254,-2.6898116376716805,-1.7218568151678997,-3.5484893573466363,-2.215547254388813
17,17,-1.7421044906548901,-2.6567154684026666,-2.0923605069935465,-3.803305553567815,-2.7614357885136656,-1.2375469560205188,-3.134231026754316,-2.379446665917531,-1.574929128231922,-3.3916603611061173,-2.719220268397038,-3.4392452996716902,-1.7472318418099293,-3.5855953096691437,-1.6624490202276299,-3.390349083902759,-2.852972208378197,-1.788935002495021,-3.7850418447181995,-2.274578411722698
18,18,-1.8059328504926029,-2.7813130673862427,-2.1548118861655388,-3.8580587297102773,-2.8712638773904717,-1.269010579908006,-3.2801076985898647,-2.4861318338645932,-1.6325145408239021,-3.5416519476005335,-2.762489822811367,-3.57962434257917,-1.8107588611000967,-3.7236322423220862,-1.7013276887474114,-3.594215364945221,-3.0126480028531226,-1.8379807238402117,-4.038694688943159,-2.38796745981363
19,19,-1.8705977805271958,-2.9103895777026727,-2.234862816353764,-4.03713934406181,-3.035726453834775,-1.2795907121104675,-3.4506646893030752,-2.5834785214045133,-1.6906283152301511,-3.751507157814079,-2.898579877868474,-3.785963037028611,-1.889650383114881,-3.9364893348404077,-1.7586969397005905,-3.8896385183820215,-3.1760717445532722,-1.8877073781869096,-4.334461685368959,-2.500479948160478
20,20,-1.9353801987823394,-3.0619824442893306,-2.3509834930427593,-4.079550659062653,-3.2111033206201856,-1.3127718598809703,-3.6334027806289897,-2.644583832018875,-1.7605074476948555,-3.961844459795547,-3.0573443677301313,-3.9550817125947284,-1.965504229461146,-4.033907799056459,-1.8620407537522234,-4.123760650707139,-3.408084693498106,-1.9627235480181917,-4.60766745088931,-2.565215542786047
