,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.0520398368471142,-1.5458947168735333,-0.8600217944364856,-1.3440875218499966,-2.1997578941978526,-1.063375308806474,-0.87506478633914,-1.0124999530113576,-1.3179286123025622,-1.4722602560126175,-0.9481087919802862,-1.7534807941512727,-1.2823708664924705,-1.5548660572019666,-1.1767591537926072,-0.6523832508069372,-1.2047800848078944,-2.0232463337506665,-1.186031132856519,-2.1477886459980398
1,1,-1.1054850760306174,-1.6460920486867192,-0.9079141457571025,-1.389588997063408,-2.3123210172147877,-1.1137308058743225,-0.9316460095277123,-1.0793938078185723,-1.350921185035405,-1.5029889874603497,-1.0143562388636878,-1.803017277701572,-1.3148263781644853,-1.5761302297102424,-1.2238119995183512,-0.7077034167230484,-1.2507660564634362,-2.114906909998939,-1.2390097419486408,-2.2251053948674824
2,2,-1.160658011185961,-1.7234883129604561,-0.9249357757910746,-1.465923508643348,-2.4133906478092184,-1.1768749481252376,-0.9517666812470177,-1.1261741238131042,-1.4067398134787843,-1.53722575669135,-1.056812409302458,-1.855638064260889,-1.3328969983629162,-1.5723166760041827,-1.2241066281800113,-0.7576154861800944,-1.2852501837357753,-2.1755892897215587,-1.2677554440916703,-2.328579691246967
3,3,-1.1863830333753784,-1.810629706712982,-0.9885747123985457,-1.4958425903073267,-2.5388302721849696,-1.266328905816443,-1.0026320440430114,-1.1782967309481571,-1.4961247436389835,-1.579485873904964,-1.102913938320955,-1.925349904595275,-1.3789894716993107,-1.631378286821114,-1.252021337101017,-0.8084778958329742,-1.3341354592587404,-2.254764467453827,-1.3357795620349942,-2.440436108478563
4,4,-1.249384967342109,-1.8988186284296806,-1.0199510240442915,-1.5516794771195004,-2.6161482497236737,-1.2866622549005546,-1.0424536404653113,-1.237953414429377,-1.57330036744978,-1.6165996326800103,-1.144137664792956,-2.0193168055151745,-1.4156808861756174,-1.6743639889673956,-1.323442680682435,-0.8608826130289288,-1.3830257553478063,-2.3196696149412186,-1.394144826908236,-2.513108433637262
5,5,-1.2894064257731555,-2.003791753662547,-1.0594292870401247,-1.644852831820403,-2.7616398967107796,-1.3499496705537017,-1.094389130116309,-1.2945398501265064,-1.6532584292857344,-1.639759617546224,-1.183881566928462,-2.076835666663333,-1.44101587738737,-1.7061873707634758,-1.339375603239685,-0.9448111951824952,-1.440793823724457,-2.4016463542895434,-1.4540142776777079,-2.6499492962615023
6,6,-1.3281474099213506,-2.1006753116251713,-1.122250290257623,-1.683620776034839,-2.8973968267047776,-1.4211323077156175,-1.1478397208404783,-1.3531321660285567,-1.719801018168676,-1.6804697828213497,-1.2561899652592872,-2.1734034212274356,-1.4747433601280395,-1.7425698591829895,-1.3722950459793308,-0.9927170359919147,-1.4823377664038644,-2.5089938082622645,-1.5131956582727366,-2.7407638102916647
7,7,-1.3953993324201455,-2.211172117720404,-1.1388498872822976,-1.7718790193155967,-3.047813982476476,-1.433040655195853,-1.1804128332979298,-1.4271693836364217,-1.7699519843336529,-1.7167614168388796,-1.3034746059212337,-2.260965605440484,-1.536070957537545,-1.792020515201849,-1.4032809373256077,-1.0754778698404848,-1.513094991557261,-2.571455942206059,-1.5609103079322886,-2.894931672422447
8,8,-1.409385512107928,-2.289355768980973,-1.1841448108553112,-1.8600023844497293,-3.1994361936931983,-1.5118504270547901,-1.248774270236309,-1.467860719773829,-1.8450116981556621,-1.7679766194653026,-1.3513742069515897,-2.3077945615104913,-1.5751572141919954,-1.826542425896772,-1.4239718602655422,-1.1531434599255765,-1.5610074644440268,-2.659733040342243,-1.6198930002892702,-3.0053140603885287
9,9,-1.4732056257888915,-2.438391518764264,-1.240524717629586,-1.9267310526683967,-3.407390849311042,-1.5614241838717864,-1.2871191136370792,-1.5447249151352165,-1.958072454308616,-1.810117678649406,-1.4123822093407752,-2.399001513228679,-1.6230534536693328,-1.8730355860463384,-1.4747725315759352,-1.207084205518953,-1.6264877157772586,-2.764254323181666,-1.7076213261091648,-3.164041376446479
10,10,-1.5423678091779922,-2.582707288450625,-1.290925266671393,-2.008761239478215,-3.6462597526654528,-1.607865429656812,-1.3771413103191152,-1.6182320223013473,-2.0559365468750435,-1.8947446952814297,-1.4729011527663283,-2.527803579694058,-1.6467592683992958,-1.9138478060473747,-1.5089206720182216,-1.2855827401682052,-1.6581181115579149,-2.8161960612090358,-1.735117671281382,-3.3839757496374556
