,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.9376157853358207,-4.096956311956073,-2.5754604657246594,-1.6268996483708527,-0.9297012137637455,-1.2152967394078986,-1.5102135710190256,-1.4721646101354326,-2.2395865638692585,-1.3579061854645351,-1.138683997206172,-2.237589091194705,-1.804759102899644,-1.3200139516464955,-1.4615916122835484,-1.4965036175167226,-1.7869163495935914,-1.6706678800110053,-2.064842235612504,-1.3973959098449311
1,1,-2.012845874619504,-4.41807527959016,-2.734901158590369,-1.7263193463303124,-0.9533548195648174,-1.2734765265458294,-1.5969485431228956,-1.5479561138611195,-2.391877452193932,-1.4180209236642178,-1.191705437113713,-2.3347584228321705,-1.8535772783863025,-1.3612467087508313,-1.5521352490841087,-1.5936499615394848,-1.885503788005025,-1.704285397882786,-2.177431176011716,-1.4434799404063192
2,2,-2.081190142655338,-4.65182713008144,-2.9191226037368416,-1.7971891740930963,-1.0215189410380416,-1.325922543742901,-1.6397998462305068,-1.6198002529848512,-2.5466452840489717,-1.4577210468473518,-1.2661561645317119,-2.450698542171179,-1.944780104414196,-1.436161226055762,-1.6497372589884454,-1.6734140359153153,-1.9482155657302433,-1.774038190804698,-2.323619995470052,-1.5086069928940664
3,3,-2.1876189804626844,-5.036489858873608,-3.099361729799634,-1.9020266079440846,-1.0588816710136324,-1.3778906139786289,-1.6818691726099182,-1.7142919255366762,-2.612543152263748,-1.5491074555846283,-1.329021282378942,-2.5350172568208156,-2.0209919226010618,-1.5461615046868038,-1.7821216777043911,-1.7717068033985466,-2.0571923290717664,-1.8096897319455665,-2.4678800132658947,-1.5641208160742484
4,4,-2.2766510322949007,-5.378791151198308,-3.357913525035994,-1.987881016210975,-1.1079511098073083,-1.4298489149082085,-1.7769791075355437,-1.7455317060618887,-2.8087354888086824,-1.6107427902616507,-1.3873887021034053,-2.676165317154102,-2.115326580466303,-1.603807566156477,-1.9086243540247418,-1.9049211221773077,-2.0887608012499808,-1.8709068917071006,-2.6701338296050765,-1.632380751450979
5,5,-2.3869283855636922,-5.490179628293035,-3.5620813661370248,-2.0962028447599717,-1.1407505932046071,-1.4969510941591349,-1.842483681360085,-1.8157134946401312,-2.9604043171834027,-1.68024404241646,-1.4575971278984647,-2.8510769830081832,-2.2356836758137355,-1.662255072729736,-2.0875296537527683,-1.9791239422209268,-2.168838485356994,-1.9151197808745537,-2.8412398881905716,-1.6908601672162422
6,6,-2.4672558348291407,-5.681496462495161,-3.8262488801834125,-2.194892650609547,-1.2061112961891125,-1.5444231113175106,-1.9011261673261275,-1.9023804420284216,-3.1382796554453574,-1.7760443071716108,-1.5065214332349504,-2.897056390743182,-2.3421421256051533,-1.7485928192326317,-2.221323486733047,-2.1188110245561664,-2.290338168556218,-1.979706398058288,-2.9752761479592205,-1.8050562485101846
7,7,-2.593559107043387,-5.4987574206096,-4.17010659253173,-2.2959200089763443,-1.2325758695393443,-1.6109233440473514,-2.002534979111234,-1.9626540304742388,-3.3028148460018034,-1.8134300236742227,-1.5959255812738447,-3.080356087501444,-2.461183835274826,-1.8185006786449092,-2.4241469577567925,-2.219795243238543,-2.3242202536712746,-2.0109405862649306,-3.2026065042995078,-1.855963299384822
8,8,-2.7179753920650573,-5.38748765347112,-4.4812527578028725,-2.4306857378875666,-1.2599874178619737,-1.67108815224818,-2.064624434615677,-2.0271633097644997,-3.530598542016772,-1.8858598622070393,-1.6518967755644802,-3.223047122134708,-2.542895804606242,-1.9432760832971978,-2.6044611138668645,-2.359791483792872,-2.4534970065042674,-2.0641963948345774,-3.446078005304555,-1.9383801350547438
9,9,-2.8726605188447443,-5.428353731968645,-4.897796897078418,-2.601643704354327,-1.313874473361546,-1.7346959003520868,-2.184131314100806,-2.1055257618561405,-3.711229045664164,-1.9677776381364527,-1.7302393723310925,-3.4399287228650888,-2.711877090575231,-2.0125473542804944,-2.7755693777762533,-2.4938976626942786,-2.522063115256791,-2.1099637061000416,-3.6693420305527007,-2.031305325293915
10,10,-2.996068376013306,-5.148045770611636,-5.2930391743150045,-2.733227996750706,-1.3629324160507332,-1.8206838948078485,-2.2837157583419656,-2.2192935169656356,-3.9877350733214687,-2.0201071689795436,-1.7888064144863347,-3.6007235552145715,-2.798693940290049,-2.121530616164106,-3.0412286820475196,-2.613224641456424,-2.613537538852824,-2.1714220398972106,-4.020449888461764,-2.0906526491243316
11,11,-3.143685978243601,-5.1385631399617795,-5.491424123409607,-2.873230687730291,-1.403009801859039,-1.8848774153743573,-2.449879560685308,-2.294102755907982,-4.179730377518858,-2.09857251582481,-1.8766305209942225,-3.7513004607970335,-2.9764102857591843,-2.2112288866502325,-3.240224094761556,-2.7972192216664196,-2.703975617555758,-2.257210621823216,-4.2940418185144695,-2.179614414231007
12,12,-3.319454562594019,-5.455235148644866,-5.590446164582003,-3.053348971847263,-1.4519179648274094,-1.973210673620955,-2.504135316460577,-2.4023517345407646,-4.481294926058348,-2.1799880646906753,-1.9320833913324333,-4.067856026483656,-3.104764186911565,-2.3311623114672395,-3.4830335200509577,-2.9986117706361703,-2.775810276647119,-2.283211172400196,-4.622281703401141,-2.27099631613051
13,13,-3.538944403767129,-5.385172378524131,-5.607680388546503,-3.2075835152930825,-1.5050117715293707,-2.0272344981908903,-2.6604835667603015,-2.4897889730048175,-4.723167046022744,-2.244695612514495,-2.022780194762899,-4.283836256369604,-3.246234307933212,-2.39104250166155,-3.804543853823731,-3.1765245606680828,-2.924825177026618,-2.356650797214122,-4.865389973056334,-2.4053148474890738
14,14,-3.7279103509648737,-5.275922114989583,-5.270227381765495,-3.3946735752331345,-1.5493149696695896,-2.1209605925012234,-2.739274570924884,-2.551285631845659,-5.078213315453892,-2.3623624889200943,-2.084498472955721,-4.548861054236641,-3.48323067513653,-2.5127513134762314,-4.087819588982337,-3.3760135211986415,-3.0692372585491867,-2.4182012516190747,-5.1242158668522215,-2.5388199596112897
15,15,-3.9742363296731953,-5.505450492897919,-5.353350588605291,-3.596466569660625,-1.5958001683048895,-2.2217751037393008,-2.9882732738179465,-2.7080547167063482,-5.378498001410294,-2.427280623017775,-2.16166213596228,-4.785307880780162,-3.5955612544551685,-2.6279302507299827,-4.439967902497211,-3.63196594824522,-3.1591248136128867,-2.4738504647920103,-5.163110352075996,-2.6470567359226425
16,16,-4.147566904845486,-5.585237267125868,-5.177662287670332,-3.8494897478008534,-1.608165549422507,-2.3034325323305875,-3.157530514397553,-2.765577159757416,-5.42961187906212,-2.4985663884439053,-2.2559243845576398,-5.086231134883585,-3.858743540733543,-2.7760906606367444,-4.826124764358702,-3.802068127116993,-3.291055175266792,-2.539514906710672,-4.985469109033364,-2.7425953581193796
17,17,-4.454098260212485,-5.675424134876798,-4.9545258341762946,-4.091641710474778,-1.7010277763664445,-2.4085247183927008,-3.354670424688573,-2.9471820713995913,-5.582718531499871,-2.599968289136004,-2.3511895268744847,-5.048131446745493,-4.078182926447548,-2.8522612165320007,-5.014477419066258,-4.035032849832004,-3.4353052088789675,-2.5938904796066296,-4.964439168743245,-2.899622059773579
18,18,-4.741430718705619,-5.72795870651632,-4.882509208025403,-4.334182044655986,-1.7495708172979414,-2.5091716221876887,-3.595466866778585,-2.9971876057722064,-5.465798297351491,-2.6622714509628715,-2.448917870845919,-5.208681819414628,-4.2432028930386085,-3.0521379366118806,-5.441714455665093,-4.398665599013809,-3.543409430258577,-2.641467531727886,-4.708215216145249,-3.0803176734263027
19,19,-5.0506388496855985,-5.693398137554651,-4.9285604860511985,-4.599840028027155,-1.799135340380322,-2.639684071089108,-3.763867781847912,-3.121759197666367,-5.321693287593658,-2.7726387950252245,-2.5833957445526594,-5.126618106040364,-4.497036324216626,-3.1450557002684603,-5.235505499852682,-4.6002829367653595,-3.673486616192376,-2.7430677686984986,-4.554941485082055,-3.2282040859082417
20,20,-5.3345680713819625,-5.5643590259524975,-4.8286428475073855,-4.862623318778725,-1.8253658537978878,-2.765497317449973,-4.042384926740663,-3.269261218951538,-5.050714223590386,-2.882659032342555,-2.7268249756598943,-5.106252574497239,-4.8772968377996415,-3.2523317203312363,-5.243613400987071,-4.819554569407349,-3.8200047739401413,-2.8345923449785904,-4.461225400163103,-3.4146265168740677
21,21,-5.474838606454994,-5.678014693091043,-4.921990290369,-5.178801923849076,-1.9032087197710643,-2.9262457327419042,-4.43082341492283,-3.4511037309772825,-4.999266514769195,-2.980023645551397,-2.813711055072406,-4.892425209725155,-5.0855603721457525,-3.4290328076772982,-4.895009923545142,-5.129202276160707,-4.054772023179199,-2.88509221697873,-4.373095324203059,-3.56939788253629
22,22,-5.272342244354518,-5.628634237166599,-5.0460538442080844,-5.519355038125481,-1.956920401438039,-3.0482261121583387,-4.7074081635597675,-3.5791432900183984,-4.923885701275632,-3.07614443912243,-2.935360716965764,-4.808386658035654,-5.2699843965379545,-3.5996636913875135,-4.6990734145041015,-5.210500372797933,-4.294658850183906,-3.023792886565026,-4.416209539415857,-3.7924184987872205
