,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-5.613754624622047,-0.36495901769053607,-2.577696475115413,-1.5913570134105945,-1.4195802239975188,-1.5809487874636803,-0.9198250177620236,1.3320363304183136,-1.0675806891681616,-1.579220284404736,-4.063770723124274,0.6349969089334249,-1.2559198621938215,-5.761598582157444,-2.8188342302891094,-1.0471182976463294,-4.6627692960052975,0.3685212550743552,-4.971488639698483,-4.970705413623776
1,1,-3.988901172289227,-0.8980620414484809,-4.5469660886902785,-2.5567978540740333,-2.7146582445430236,-2.462324628295071,-1.9217159255347251,1.1548482952368666,-2.001134532647434,-2.5506795130353557,-5.129180297730829,0.29267322594274925,-2.256857870108384,-2.984435406508373,-5.175164832124581,-2.4721388390909236,-3.184450038792445,0.026166468517288162,-3.4382198592816207,-3.7912678727016798
2,2,-5.611824730232166,-1.442412135932956,-4.734421574757113,-4.09468302390077,-4.960277081585299,-3.9498921822096285,-3.630417948455252,0.9351211227969757,-3.5768106506307578,-4.560121513866757,-4.233163884634438,-0.1393028859154134,-4.036674852666759,-5.166028361944579,-4.179383581616837,-5.041750112627467,-4.64000714652314,-0.36468749381979376,-5.03118459687777,-5.1677087459891995
3,3,-5.185817156535039,-2.1734052422160457,-3.578218717209727,-5.162498749970671,-3.8422131484699715,-5.236292830136398,-4.442125414744267,0.7000863397365155,-5.040389070043653,-5.329041342378302,-4.795319684541585,-0.6622232512020059,-4.838345338902175,-4.36314076316225,-3.4569659814906135,-3.040066917537643,-4.983862982658887,-0.8876654821161006,-5.039074417232063,-5.460509741493549
4,4,-4.488039953098069,-3.342055862225279,-3.453353092292678,-3.5706991606254266,-2.9009166574488665,-3.879798256720935,-2.8524213385739845,0.4212126311331541,-3.3653477181526026,-3.3697060630079094,-5.904595018363928,-1.3121613962012568,-3.336402003010169,-3.45912230706172,-3.759147389383339,-2.3058766367653023,-3.852028266582226,-1.5202958694587303,-4.187036329135671,-4.48173657637668
5,5,-4.856156302930082,-4.687970965319852,-3.7769299207237874,-3.051701335694244,-2.66994196052875,-3.1074582101045163,-2.359299581734843,0.06908087111097455,-2.679828034991086,-2.8982005097981802,-5.151906583372286,-2.1030894306110484,-2.7402210437297105,-3.8560236869264712,-4.452370399332385,-2.147803999892851,-4.199064303470084,-2.4247941455554267,-4.5151570003364565,-4.7183936235558
6,6,-5.779748330493421,-4.4633421905765776,-4.568148417273417,-2.9443305276924856,-2.7201519936149268,-2.914783212698847,-2.2696409564546918,-0.2916125075403533,-2.4653521302294177,-2.917284825024155,-4.6699791093145535,-3.355983876982304,-2.6039007161033054,-5.122031749203424,-5.639934884772047,-2.396100946043908,-5.228262964262739,-3.8256081468800294,-5.781362832733049,-5.687118086292036
7,7,-5.751011849238189,-3.4572645493574417,-5.333178556287249,-3.0212598707388474,-3.0413617943254105,-2.950070482585552,-2.57476036656131,-0.7368569329188526,-2.5793630278928896,-3.2663351566490926,-4.980546135525454,-4.552750132279588,-2.7737844696646228,-5.979470815822725,-5.195581338554889,-2.9603805040793225,-5.640341272491154,-4.677772003034133,-5.72137948371016,-5.894057896571271
8,8,-5.040226972276487,-2.855559013043153,-5.379481338179094,-3.3679305793294816,-3.66482077841395,-3.2595628869809774,-2.9948327266873767,-1.341810337609728,-2.7992357171432607,-3.939616091527204,-5.66388509390192,-3.82289258092397,-3.1047335653075137,-4.70204011183385,-4.410973687836921,-3.9060290540044607,-4.691734517926914,-3.538833619377394,-4.831108482517568,-5.146234798490539
9,9,-5.0659089049857755,-2.6014506585712254,-4.650240143689156,-3.9312039883833583,-4.494114734902033,-3.715457324987387,-3.657242999821335,-2.0427100597829893,-3.2648382837082757,-5.137101805608568,-5.845281963022811,-2.8408119401081433,-3.6273334608282104,-4.279721878261995,-4.213579112471322,-5.158398810074628,-4.425562178762864,-2.6423335103168317,-4.67618777415908,-4.886403303650299
