,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-2.0755637747423004,-3.125748235303906,-2.4671786350078433,-1.6215749026360113,-0.9599664092543815,-1.1358307664667813,-1.4422232787254317,-1.3970529842094583,-2.2242842640112443,-1.338053157753737,-1.1624299029877672,-2.0949881381829494,-1.9001310684659105,-1.3637846560403721,-1.5350443113211978,-1.6085831125225267,-1.8302325545965388,-1.7571522125531809,-1.751722052512933,-1.322739601972144
1,1,-2.1603962027359502,-3.2935370704216114,-2.6064711174743325,-1.6836454688883493,-0.9940282642371581,-1.1929527806556073,-1.5149185897218893,-1.4734624859584884,-2.324502496415052,-1.4058974931599963,-1.1933405252566764,-2.1557798229414833,-1.9490299944329375,-1.4195246988034758,-1.60329584230793,-1.6970280377763474,-1.9150976912542634,-1.7894393236796722,-1.8165080645881886,-1.3689187788625417
2,2,-2.18495409407757,-3.3785441257211266,-2.759291305721666,-1.7555197308687602,-1.0511899896437347,-1.2312114181975924,-1.5690335771247772,-1.5102400409853887,-2.4401670450621475,-1.4344999377320458,-1.2589531714723634,-2.224142527353715,-2.0213834302562947,-1.4930292512486085,-1.6901847319653458,-1.768769071874536,-1.9704663547723973,-1.8673335205680248,-1.8713919599651203,-1.411414069288288
3,3,-2.309615949484319,-3.544894156589881,-2.8346574109097933,-1.8229310506075018,-1.0839579847251564,-1.2878964950961993,-1.614814436321169,-1.6218333921326704,-2.5234744287320505,-1.5042518799202655,-1.303885923465196,-2.296781506841247,-2.0653463450658975,-1.5770052475153071,-1.8089397258851345,-1.8015054436081392,-2.082385404319352,-1.9074186997802336,-1.9578680984579524,-1.4780720388310282
4,4,-2.3754027639776294,-3.7722642030542755,-3.023306462629756,-1.8921368251960125,-1.1445668621047942,-1.37015104024383,-1.7001714346162105,-1.6515471212261235,-2.623428533620535,-1.5727526437531942,-1.3382797900666785,-2.3524723158191856,-2.1429661265263014,-1.6413131618403878,-1.9244208127988907,-1.9159885977280673,-2.1070444739657517,-1.9619493036389235,-2.0745260912024475,-1.5297178548152786
5,5,-2.5005836128896703,-3.930470122782783,-3.16225456157114,-1.985650094729658,-1.1796952244527399,-1.4157673883015807,-1.7457788735934756,-1.7082562606948515,-2.682630158036703,-1.601229439820628,-1.4155358397063358,-2.4566963641439648,-2.239532554274657,-1.6436111132710514,-2.0711238583934315,-1.9963027860544698,-2.14717195840958,-2.007566212932125,-2.1220930752593623,-1.6040382960767645
6,6,-2.5855636539196682,-4.144991352645864,-3.2252012837871047,-2.0377173311581815,-1.2295228023313256,-1.4527358558498151,-1.810408419301537,-1.7807224146201572,-2.8686990588675925,-1.694070563555759,-1.458870895777586,-2.5340449913140253,-2.348326302997943,-1.7420863818257692,-2.1843420778109564,-2.0804155731597413,-2.3004646891837273,-2.0596380438710624,-2.219876946797011,-1.7038928915723859
7,7,-2.7146138352017464,-4.223564872596174,-3.4347099627642583,-2.120749572956233,-1.264370749311292,-1.5418859036295884,-1.8865755543994507,-1.8347277586900852,-2.946663596071353,-1.7165106076566572,-1.5160459390031353,-2.632924848086934,-2.4244420839096503,-1.7737719206268625,-2.3465658073681115,-2.131712713850433,-2.33532606184324,-2.1052173798939915,-2.337186687395376,-1.723945691669984
8,8,-2.827936128959317,-4.465602482714118,-3.5879359574261858,-2.208337176259317,-1.3017849446445637,-1.6002090552130284,-1.959516694926293,-1.9076932968947384,-3.102481905157298,-1.7869879651661693,-1.5532559841341567,-2.7287973983907587,-2.4875127192939157,-1.8836203929542072,-2.4248503527336203,-2.2580844710216543,-2.4517858529677587,-2.1486702993558078,-2.4184533652568976,-1.8214868854556672
9,9,-2.9330808023546404,-4.656065910320488,-3.7348322979070514,-2.3319495618446098,-1.3513364787602973,-1.6749084900395672,-2.0669736097887563,-1.9584352262101017,-3.151009169979687,-1.8513147917868136,-1.6248135209226,-2.8488724515896346,-2.6097745148267504,-1.9322898830996196,-2.6338179771050507,-2.3522490972793317,-2.504472857120411,-2.2220696312072783,-2.4906730132820503,-1.907097721378736
