,step,seed0,seed1
0,0,-1.1937584776926653,-1.0323225396482123
1,1,-1.2467262538481645,-1.0971213808122833
2,2,-1.3005518038487023,-1.1346712434097972
3,3,-1.3524207719661954,-1.2036688698431075
4,4,-1.399176637098794,-1.2752144907151322
5,5,-1.487544238810412,-1.346391792919352
6,6,-1.5676989028333508,-1.412531676242033
7,7,-1.6053624555560377,-1.4908369122776823
8,8,-1.6843134806080302,-1.5825398050540405
9,9,-1.7861005098554914,-1.6786494156469132
10,10,-1.843869814658189,-1.749322465142387
11,11,-1.9659082898194018,-1.8264609549557156
12,12,-2.008683391116492,-1.9926444860725274
13,13,-2.1404912657159048,-2.0959366030158164
14,14,-2.23400610001179,-2.1932835283399066
15,15,-2.3112752544162922,-2.3361077664593615
16,16,-2.4779925981430644,-2.4862089232607345
17,17,-2.59998432770431,-2.637255239447401
18,18,-2.7552794264369336,-2.8187440554597307
19,19,-2.8905454167116353,-2.9911459190678773
20,20,-3.084972665743168,-3.1531516788612874
21,21,-3.277508527561116,-3.3673380117997675
22,22,-3.4945613352759697,-3.640196078307297
23,23,-3.745287173322442,-3.875126201202407
24,24,-4.008036951767461,-4.0739685174585745
25,25,-4.184655869406463,-4.3370118647626485
26,26,-4.3689112429067665,-4.5844956726905846
27,27,-4.531714984825855,-4.671987005944804
28,28,-4.518330015869018,-4.528338384956772
29,29,-4.66631615181274,-4.54704680310393
30,30,-4.49833465414462,-4.662608668597261
31,31,-4.454870096996588,-4.42977400599494
32,32,-4.29546910296528,-4.267381295641293
33,33,-4.282709565286716,-4.0165067548004485
34,34,-4.174104887007421,-4.070778243067615
35,35,-4.2033901639938165,-4.13413266662978
36,36,-3.998152478974487,-4.068358285847892
37,37,-4.2164286998944025,-4.0254237126410075
38,38,-4.001754058051026,-4.003138718763939
39,39,-4.188608966677161,-4.132577438293255
40,40,-4.27836492602967,-4.203469134413641
41,41,-4.239041624389841,-4.3968069795433085
42,42,-4.342335039535625,-4.3781559415245805
43,43,-4.423551444902696,-4.458720206881758
44,44,-4.354028898424919,-4.543736386613862
45,45,-4.504558451014953,-4.682005111397264
46,46,-4.523494505463949,-4.662569041999237
47,47,-4.758670340280891,-4.623072781976877
48,48,-4.822981791964463,-4.676855842781156
49,49,-4.691238576903595,-4.699529553478061
50,50,-4.656905872357505,-4.744538186040946
51,51,-4.733432691607574,-4.722208634784082
52,52,-4.681935684433382,-4.697614058337604
53,53,-4.6983919118916875,-4.67033668027817
54,54,-4.6166583598114155,-4.7477169816899085
55,55,-4.549829982394693,-4.802429680096959
56,56,-4.65545994355753,-4.708277027424574
57,57,-4.570209285401288,-4.594054522243647
58,58,-4.684336131119491,-4.665556148436049
59,59,-4.628280565658123,-4.635589463192343
60,60,-4.649572167927739,-4.65382992830217
61,61,-4.71439402529902,-4.680062431465342
62,62,-4.716595090921742,-4.709534315182525
63,63,-4.784522339216155,-4.730169391313114
64,64,-4.682795228752044,-4.707659629378564
65,65,-4.67781815885149,-4.805995577073923
66,66,-4.7189737992093175,-4.85617321234167
67,67,-4.766681646676408,-4.786720956549598
68,68,-4.745935019204971,-4.653963979230117
69,69,-4.651579837788015,-4.730944258289948
70,70,-4.81478219167381,-4.757745107553918
71,71,-4.766400344442296,-4.758283483658117
72,72,-4.690172182606513,-4.83024076472302
73,73,-4.760678004100785,-4.843589091870377
74,74,-4.806221996953516,-4.771313757077126
75,75,-4.726066091212757,-4.8019835859864575
76,76,-4.760300786695665,-4.777483957387483
77,77,-4.75140624107581,-4.839433878868597
78,78,-4.631945232864521,-4.686281812789775
79,79,-4.878537737342414,-4.742129644595315
80,80,-4.831801077418535,-4.8162032373748875
81,81,-4.80175648732948,-4.877615074002128
82,82,-4.802647750803851,-4.8290300509900685
83,83,-4.745144721589295,-4.797107458441884
84,84,-4.883756505732423,-4.842126351319851
85,85,-4.9053356449445245,-4.830867252334325
86,86,-4.851481992417172,-4.795253096108663
87,87,-4.886237708172288,-4.9359140236299215
88,88,-4.937842731000019,-4.832585044694268
89,89,-4.91394332040237,-4.7526216748415555
90,90,-4.813236734844193,-4.880259736832857
91,91,-4.967531978241338,-4.882626559073973
92,92,-4.924424545065647,-4.816033871842485
93,93,-4.899851518681254,-4.856208734998912
94,94,-4.931790618096388,-5.010861395295352
95,95,-4.878800220723324,-4.799142596204721
96,96,-4.913878016376473,-4.896469241817112
97,97,-5.030328308605352,-4.938773190061742
98,98,-4.959519695946509,-4.891394989876496
99,99,-4.9337525209712,-4.858962867821609
100,100,-4.9303675078686116,-4.858670722105437
101,101,-4.806076651373232,-4.923492335405174
102,102,-4.997699230518791,-4.923437657123856
103,103,-5.1350195416151525,-4.879349572193235
104,104,-4.873206725312034,-4.897270153572594
105,105,-5.001398481929163,-4.913399173141929
106,106,-5.030834070764876,-5.09345404484346
107,107,-4.8725882008033725,-4.8959979972065595
108,108,-4.970222345573268,-4.90256181864545
