,step,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19
0,0,-1.1789603517437457,-1.5856226426615359,-1.068688628581915,-1.1254919926439626,-1.6251358267734535,-1.0844780957915612,-1.7197788487163577,-1.186068380759235,-1.0048063518866654,-1.588376927624519,-1.111359303625558,-1.8217186069124762,-1.8008095355968075,-1.1755381448988376,-1.5874938258807856,-1.6668733801693534,-1.2857090917124983,-1.6343872407001185,-1.3170446088014345,-0.8845883327513699
1,1,-1.2421815257639204,-1.6688625022919383,-1.1100907910479838,-1.188106016099191,-1.7115097088700493,-1.112496248802358,-1.8195087731627975,-1.2106229647383056,-1.0658194074282499,-1.6309615225953156,-1.138187337568074,-1.9167971424065386,-1.842740224937446,-1.238084569689936,-1.6742727133347006,-1.7215990259301057,-1.3469400013294202,-1.718683486282498,-1.381819828379449,-0.917678402464797
2,2,-1.2824124586153407,-1.7117352927490619,-1.133673361158342,-1.2565232760441247,-1.780112579305567,-1.1516939223242144,-1.868039252265769,-1.249858596907457,-1.1170954220732285,-1.68358628027457,-1.1830700107731134,-2.0007802780902457,-1.926459092202146,-1.2892984842480468,-1.7280880399724399,-1.7800321598359532,-1.392107349529843,-1.7567124764478517,-1.4116412766996491,-0.9838118419318354
3,3,-1.3284257978211105,-1.7251575347160382,-1.1712376055521534,-1.3322870724343063,-1.8406834301151893,-1.1889123404618787,-1.960944193431926,-1.277494305227738,-1.1414867840256908,-1.754548970556724,-1.1972933616605805,-2.171443083640397,-1.9734032406931277,-1.3684586741742146,-1.8136855274939871,-1.8387022525450896,-1.4422132158881262,-1.8391492013578752,-1.4634378048240297,-1.0307289069954146
4,4,-1.4036768947850113,-1.8349137434221086,-1.230898246467188,-1.4112763460746764,-1.9076557893169943,-1.2568034073988053,-2.0268311521815505,-1.3279450399707342,-1.2097476106852438,-1.8022956105017371,-1.2402226213354985,-2.28273561619002,-2.05587041905468,-1.3856051089216377,-1.84842279011799,-1.867404337975501,-1.4757830750070982,-1.8607937261926353,-1.5017888861029094,-1.067375313552251
5,5,-1.4577631526636745,-1.8593004652660134,-1.270508815530196,-1.4644877974629853,-1.9712562948873367,-1.2791810395407714,-2.100383166493884,-1.4041543359097004,-1.2502737553382208,-1.8384960940928552,-1.2865018591900343,-2.3515533224785923,-2.1497024281372883,-1.4677514724874035,-1.9357936170719758,-1.9581124190349317,-1.5436896546355914,-1.9619825954319892,-1.5450867568332682,-1.1369402320423183
6,6,-1.5108451955088227,-1.9396246450027357,-1.2987978591394629,-1.5488222320062859,-2.048895876875935,-1.319529645511669,-2.1953457579182536,-1.4045452292187939,-1.3043716307005808,-1.8924134008293956,-1.3108384005538638,-2.550284047099597,-2.1884312331464306,-1.5273079725880252,-1.9952324908312817,-2.028414018335685,-1.578008895457151,-2.0391092505061255,-1.601908379840367,-1.202738774618092
7,7,-1.56325533370026,-1.998343062906407,-1.352231748675473,-1.6302844123004132,-2.1360496927150154,-1.3791507980086428,-2.2476294643746257,-1.4577768614458395,-1.3522055205217427,-1.9746586346071962,-1.3549706476961931,-2.6568248936585412,-2.2889304552509855,-1.5814384360089764,-2.0814220169728044,-2.0513401622465444,-1.6476473608147215,-2.1391134667691394,-1.6506237994015822,-1.2354148555744457
8,8,-1.627257035792284,-2.1017837544796234,-1.4106467589335763,-1.724155544384139,-2.2078639073771273,-1.3838987381145915,-2.3858225924603502,-1.5156561316645103,-1.4217959534335185,-2.0354711848717937,-1.4016169474556874,-2.858194248615028,-2.4011135626524633,-1.6298992355614867,-2.1569515930863217,-2.138440953480496,-1.7162194619896205,-2.2077665285375674,-1.7146780735222986,-1.2961021464071754
9,9,-1.7238326951418057,-2.1515325870355793,-1.4472149498564517,-1.8357585321281544,-2.303532096310883,-1.4158715155216972,-2.468516846460395,-1.5601578979647652,-1.4656611934857777,-2.1057534214998523,-1.444114683323363,-2.953770849607791,-2.524680170565089,-1.7044860077421584,-2.224089910544497,-2.224024919988846,-1.7610418550343157,-2.3303473520485856,-1.7432340263821724,-1.3215382010844519
